Lambda1,Lambda2,Lambda3
-0.19774680428884553,-0.09454485102730281,2.1758081508371445
-0.1785582309402008,-0.06973756536793041,2.142666698983603
-0.1587628862642777,-0.04434922322177781,2.108723239822007
-0.1385477380395802,-0.018616834254118864,2.074760234010323
-0.11824614918329301,0.007049051164500164,2.04110932747436
-0.09833465011935594,0.03206335926262477,2.005699183003874
-0.07941916232597673,0.055677968079033024,1.972966434442996
-0.06220894636625071,0.07700939553695599,1.9440538602931974
-0.04747708575759821,0.09508634426077947,1.920073510860775
-0.036007945522484014,0.10891862296867202,1.9020457394095363
-0.028534901834441906,0.11758404406631431,1.8908217966711647
-0.025675230889702916,0.12032269135863816,1.8869999999999998
-0.027872041526485786,0.1166212028200706,1.890852431162238
-0.0353537645044551,0.10626779484420618,1.9022811395655828
-0.04811883040766719,0.08936473111553644,1.9208169009571474
-0.06594735517644788,0.06629724490257274,1.945661294491107
-0.08843521687452596,0.03767047487643536,1.9757603124268734
-0.11504152737271732,0.0042325755436086535,2.0098911148364444
-0.14513956068686998,-0.03319902501897637,2.0467447386952213
-0.1780632102671421,-0.07379743907876446,2.0825679380127755
-0.21314441366430711,-0.11676839185653214,2.11817519619658
-0.24974016230903665,-0.1613757258940754,2.1534823297458026
-0.28724988478533536,-0.20695388977936063,2.1875520974396423
-0.3251250502682833,-0.2529113926058471,2.2195312746159424
-0.36287307071921615,-0.2987286204371634,2.2486565996128007
-0.40005735168627976,-0.34395251281988415,2.2742550552770093
-0.43629493685739307,-0.3881897582767257,2.2923386735707414
-0.4712527789245914,-0.43109952235398136,2.301885922410127
-0.5046433243428576,-0.47238627967545577,2.3045436543414244
-0.5362198418889408,-0.5117930439908415,2.300233546996038
-0.56577174752646,-0.549095130426677,2.289219897187929
-0.5931200648726062,-0.5840945022585512,2.2721284381243927
-0.6181130950781287,-0.6166147214060151,2.249904759858514
-0.6464965177667463,-0.6406223386302003,2.2237164089584054
-0.6735940045308654,-0.660538704350171,2.1948284878105855
-0.6977715862334677,-0.6777690503201926,2.1644893213357155
-0.7189016275598411,-0.692233121969732,2.1338494867702393
-0.7368629691813338,-0.7038609790915481,2.1039185430969263
-0.7515403881428874,-0.7125910310015885,2.075551498262805
-0.762825100840073,-0.7183688216636268,2.0494537056017244
-0.7706163930914272,-0.7211467179783687,2.026194830806769
-0.7748244315960657,-0.7208846480021698,2.0062259205343085
-0.7753742626485758,-0.7175520057251491,1.9898964620017905
-0.7722109373751005,-0.7111307812015297,1.9774701671340447
-0.7653056197753715,-0.7016198883917149,1.969139205881056
-0.7546624381925757,-0.6890405511728006,1.965037042566558
-0.740325737904152,-0.6734424780865927,1.9652501306797485
-0.7223872892537826,-0.6549104199972768,1.9698286447410236
-0.7009929104240018,-0.6335705764382057,1.9787962599566733
-0.6763478863873176,-0.6095962123527894,1.9921587841898816
-0.6487205175329752,-0.5832117841048936,2.0099112413338727
-0.6184431271800656,-0.5546948685788855,2.0320428375738393
-0.5859099133534804,-0.5243752569522394,2.05853915177573
-0.5515711645004346,-0.4926307270468134,2.0893809178176843
-0.5159235859420138,-0.4598792502010089,2.1245389412065503
-0.4794968084403559,-0.4265677139027031,2.163965025325335
-0.4428365577670507,-0.3931576261573931,2.2075792516022172
-0.4064854125969825,-0.3601086666322028,2.2552544997554587
-0.37096249595820857,-0.3278612983822133,2.3067996087880682
-0.33674374150026387,-0.29681987886702227,2.3619429466482944
-0.3042444619795242,-0.2673377468194309,2.4203182675438
-0.27380577036068715,-0.23970558218183471,2.481454528787505
-0.24568597216728463,-0.2141439589558804,2.5447708261583486
-0.22005743847364376,-0.19080050450647254,2.609576881604107
-0.19700880874514073,-0.16975154449996585,2.6750787385257557
-0.1765517971417983,-0.1510076525160322,2.7403886907106245
-0.15863148669264374,-0.13452221143582857,2.8045382486537136
-0.14313883462779875,-0.12020195880704743,2.8664935343184337
-0.12992415970158436,-0.10791851498468309,2.925174623676493
