Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6
-0.17935105357027725,-0.0687007128153937,2.137239755257587,2.1570194759276644,3.4356659756816974,3.566096037106659
-0.15912617299369813,-0.043774377758919125,2.1024406576487045,2.1211796056167835,3.482897410041393,3.6169881532442503
-0.138538426160824,-0.018449183969968863,2.0677048735072683,2.0846565423334042,3.528343644733842,3.6653845557508324
-0.11792881961947943,0.006872909254829196,2.0338804259050636,2.048489774243725,3.570934503604615,3.7103455808175854
-0.09778201467272984,0.031616479797606345,2.001862924273559,2.013771726972181,3.609720209796926,3.7510275069658845
-0.07871240682935926,0.055044102832524144,1.9725754173099266,1.981630885691009,3.643881461253251,3.786693439296215
-0.06143761447803095,0.07628358305735605,1.9469407740576352,1.9532057768066915,3.6727331877353158,3.816719388019761
-0.04673813182641891,0.0943744420882758,1.9258439933742546,1.9296038669994522,3.695724391639537,3.8405968391794323
-0.03540361549524894,0.10833513292103603,1.9100839043273823,1.9118423263295847,3.712435589196887,3.857932759615374
-0.028169273754758188,0.11724778598161609,1.9003169890944616,1.900772854827453,3.722574776296679,3.8684477017660477
-0.02564957438928328,0.12035042561071718,1.8969999999999998,1.8969999999999998,3.7259724748049043,3.8719724748049034
-0.028279562217771573,0.11712007952124365,1.9003412480217408,1.900809119597458,3.7225761997397013,3.868443713054434
-0.036274615299941956,0.10732815897764088,1.9102710620365764,1.9121223023602216,3.712444570425485,3.857898585026713
-0.04961631809586336,0.09105491136995278,1.9264388180817147,1.9304951895407807,3.6957412324383876,3.840468833363271
-0.06806598584504311,0.06866135727277357,1.9482378219819771,1.9551560484312964,3.6727287374156754,3.816374306982809
-0.09120072797397835,0.04072929103195858,1.9748526952867922,1.9850762821344397,3.6437625284320605,3.7859161342856487
-0.11846257397699148,0.007986668389005816,2.0053195535977393,2.019054808791311,3.609285187300417,3.7494696848599878
-0.14921044240690112,-0.028764998510968164,2.0385885215337094,2.055799446259228,3.569821104150173,3.7074774727716266
-0.1827669899208279,-0.06871033861589945,2.0735803806758013,2.0939941822520316,3.525971710955714,3.6604421638368727
-0.2184559174994358,-0.11106273916001169,2.1092326841878357,2.1323480155609595,3.4784113489379687,3.6089198586505185
-0.25562855419978436,-0.15509068385660063,2.1445339187582713,2.1696262137525797,3.4278836620266357,3.5535138273641294
-0.2936806899117437,-0.2001310994435676,2.1785464645955943,2.204667699816417,3.3751980367598398,3.494868862448839
-0.3320616305667639,-0.24559355056676402,2.210420156124985,2.2363935402855315,3.3212249119619535,3.4336663761224986
-0.37027762347688775,-0.2909586300016014,2.2393985290043332,2.2638121999341725,3.2668876073859447,3.3706202717910703
-0.40789152889624286,-0.3357730452848532,2.2648197821024367,2.2860281024359823,3.213146612580388,3.306473416525324
