kx	V1	V2	V3
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
-0.19696505665139769	-0.25172182709937496	-0.23507690096856615	-0.23472940343479898
