Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6
1.1593042723504188,1.2382486616196609,1.259304272350418,1.3382486616196612,2.1676600185100647,2.2676600185100657
1.1875809647680007,1.2374653497394437,1.2875809647679999,1.337465349739444,2.1367481852905033,2.236748185290503
1.2050863614488163,1.239951020742417,1.3050863614488162,1.3399510207424161,2.1144273076179987,2.2144273076179997
1.2121639547286578,1.2439369363405588,1.3121639547286588,1.3439369363405589,2.1021293922506255,2.2021293922506233
1.2127928568984583,1.244544445950395,1.3127928568984593,1.344544445950396,2.1007574323192184,2.2007574323192176
1.2072341571180802,1.2414206654668536,1.307234157118081,1.3414206654668546,2.1104033592544877,2.2104033592544883
1.1914652842796305,1.2393347962471906,1.2914652842796304,1.3393347962471907,2.1303173608023442,2.230317360802344
1.1645739949568907,1.2405417047435887,1.2645739949568908,1.3405417047435884,2.159150325552401,2.2591503255523984
1.1290773574194368,1.229077357419437,1.2441077143239991,1.3441077143239992,2.195309091413442,2.2953090914134404
1.0873053619256416,1.1873053619256426,1.249236810057153,1.3492368100571515,2.2372466669497073,2.3372466669497065
1.040982306073212,1.140982306073212,1.2555330881037263,1.3555330881037273,2.2836184450136074,2.383618445013606
0.9914196906654428,1.091419690665443,1.2627620906377546,1.3627620906377558,2.3333280321019547,2.4333280321019535
0.9396364670781926,1.039636467078193,1.2707455934556888,1.3707455934556882,2.3855122850562425,2.485512285056244
0.8864353874017779,0.9864353874017778,1.2793232650250164,1.3793232650250158,2.4395033847985723,2.539503384798572
0.8324580932695743,0.9324580932695743,1.288338498345284,1.3883384983452844,2.4947880094920327,2.5947880094920306
0.7782259747796909,0.8782259747796914,1.2976333960848307,1.3976333960848308,2.5509715948864646,2.6509715948864643
0.7241702219023153,0.8241702219023161,1.3070475748750006,1.4070475748750009,2.60774959316441,2.7077495931644098
0.6706536600758528,0.7706536600758522,1.3164187274765313,1.4164187274765314,2.6648851994187757,2.7648851994187744
0.6179864807360866,0.7179864807360864,1.325584063044993,1.425584063044994,2.7221923143026117,2.822192314302611
