(-1.256105886826673+0j),(4.127105886826673+0j),(2.9290000000000003+0j)
(-1.000825318019768-4.910579536527597e-17j),(4.381209892398409-3.926543690651149e-17j),(1.7793009499555805-2.2651070190728223e-17j)
(-1.0937542315242708+2.6385239192566698e-17j),(3.9720560262225724+8.416327847820151e-17j),(2.840603733190936+4.445629946418108e-16j)
(4.659642594892127+1.662805863409758e-17j),(-1.2411650296970522-4.865011821976863e-18j),(1.662524462509922+1.5992528803508238e-17j)
(-1.2215295818708662-1.0818007569674322e-17j),(4.110097832827494+6.592859061473983e-17j),(2.879247138343106+4.0056818619233155e-19j)
(4.731398892920275-6.465256363557943e-17j),(-1.3045160147516939-1.2697939063513011e-16j),(1.6372657519728235-3.041265065432189e-17j)
(-1.1617669419131205+9.355480037129028e-18j),(4.052934041045066-7.44084089621524e-17j),(2.8606586050446308+6.505292892502326e-17j)
(4.575147158318596+5.063063951134026e-17j),(-1.1587283878890728-3.172277314728255e-17j),(1.6958163217686713-2.4095247128908914e-16j)
(-0.9655363016532978-4.696740531085408e-17j),(3.7275574425600255-7.442546874453198e-17j),(2.4799487153513358-3.2269633579467705e-16j)
(-1.065090452540808-1.2705609375289892e-16j),(1.9340776112849773-2.573547022718186e-17j),(4.123509279939337+1.5279156398008088e-16j)
(-0.834488251077415+4.2631088135844265e-17j),(3.652987731536091+1.282990700726074e-17j),(2.4118264037417223-5.5460995143104957e-17j)
(-0.9272735029216013-2.2969512392093517e-16j),(4.199058151948002+5.4271054128531084e-17j),(1.7434562606978439+1.7542406979240413e-16j)
(-0.6537827773375908+1.7363685020914227e-17j),(3.530880399410242-1.2244690526749736e-17j),(2.320444872082437-5.118994494164513e-18j)
(4.197589933120304+3.350742729341872e-16j),(-0.7333450352134849+1.3556010934781463e-16j),(1.592288182380583+1.9549943249309153e-16j)
(-0.5238067171990097-2.0877072296260212e-18j),(3.4501425045208056+1.418061750832282e-17j),(2.2233330347582365-2.3413751520372826e-16j)
(4.11798021712182-2.1270604512735457e-16j),(-0.6604038773079116-2.491182607699445e-18j),(1.651177448740009-6.8473771899774035e-18j)
(-0.5402917039175075-1.0274500510217754e-17j),(3.500019888815425+1.3238723414118318e-19j),(2.135810252478938-4.3394709657398583e-16j)
(-0.7660519378373942-3.1350890192986384e-17j),(3.98301578875136+4.476581056730373e-16j),(1.9453035064060586-1.942626105550193e-16j)
(-0.7123023449175188+6.891009301287659e-17j),(3.6586290945607316+6.209469018807942e-17j),(2.098812637888274-4.773805635406937e-17j)
(-0.9177970775460242-9.22575042591484e-17j),(3.844747742083973-2.278071577942182e-17j),(2.280248888400443+4.015917576054527e-18j)
(-0.9324083318180884-3.184502461290911e-17j),(2.089021989248579-2.5603212880565917e-17j),(3.8511575629711357+1.1295938872473286e-16j)
(-0.9916295519389338+6.526165256204153e-17j),(3.7615981089476183-6.99675115879339e-17j),(2.465291005284123+4.705859025892382e-18j)
(-1.0675732189887102-8.908244080801806e-17j),(2.0341303110743514-1.2838993016293623e-16j),(4.023771955211133+3.284946734334699e-16j)
(-0.9424092708126124-1.4256254535142288e-17j),(3.7146771490710724-1.363066864518657e-16j),(2.469001921422714+1.5056294098700772e-16j)
(-1.0439480155571936+1.64077087709704e-16j),(1.8916502987946708+7.998227767423015e-17j),(4.148328985406225-2.2014760458902636e-17j)
(-0.7916983546431966-3.3779944005527666e-17j),(3.6257314639687457-1.3462494660448998e-16j),(2.390088156890049+1.6840489061001807e-16j)
(-1.1340779662369305-1.248745644763585e-16j),(4.1004052133548665+2.7033980011297185e-17j),(2.71857583017181-1.3181717997454132e-17j)
(4.739457368288423+1.1191297145419441e-16j),(-1.131442392691949+3.0454355844775003e-16j),(1.436088587225193-8.338962251439746e-17j)
(-1.008812229329959-7.918168228327743e-17j),(3.9707282723427326-1.5737930502234545e-16j),(2.6930782299098484+6.806501971556857e-16j)
(4.559124755281059-1.4806309899832318e-16j),(-1.0042422622335303+5.78084337677068e-17j),(1.5476427090070315-1.317899396944149e-16j)
(-0.7796371428583998-2.7479384282430928e-17j),(3.6886795236462833+1.6091468662807247e-16j),(2.6617442012797734-2.2412999883125538e-17j)
(-0.8126183929870883+2.0499371811906565e-16j),(4.250348031898375+1.107894254650494e-16j),(1.770858979059325+1.2830606626594769e-16j)
(-0.572111955438265-1.753849768554731e-17j),(3.5645118345549145+1.9153035541157246e-17j),(2.455417987006233-5.712568908686763e-17j)
(-0.723168800180602-1.0437211235691626e-16j),(3.9395090281727128+9.669851869208642e-17j),(2.126382939573789+7.673593664829767e-18j)
(-0.521229680280833+1.2954561447276568e-17j),(3.802366736317362-4.200038691061893e-17j),(2.027641049565973+2.9045825463342394e-17j)
(-0.8090816489101249+1.8743620424839624e-16j),(3.7740380601708403+2.5867001427084085e-16j),(2.5152221582320147-2.017008669174317e-18j)
(4.197269977640339+6.416934103107198e-17j),(-0.6761487539834721-4.0913636874653086e-17j),(1.6582014594619567-7.87668553876767e-17j)
(-0.9883476815363161+9.891951828054343e-17j),(3.8615007278058244-1.0100899060589174e-16j),(2.722438738050537-4.419997375247136e-16j)
(4.552070837587421+1.3498707243773093e-17j),(-0.9325863660356133-5.618406400211075e-17j),(1.4638540238079234-2.9038155062920903e-16j)
(-1.123122751609982+8.74650166544203e-18j),(4.049344518517756-3.154441451260902e-16j),(2.7414451929764345-2.636926392689909e-17j)
(4.741032548390178-2.794930699457654e-16j),(-1.1131019621787084-1.8857263516820417e-16j),(1.4106057969011112+7.948764649516496e-17j)
(-1.1175782262083178-1.5304681846003733e-16j),(4.0896921871568885-8.339163821978432e-17j),(2.710990945141471+1.4393851754790418e-17j)
(4.712620445711934-1.7018921053484977e-16j),(-1.1142182428396938-1.2884823932817897e-16j),(1.4547809538566419+2.990374498630291e-16j)
(-0.9587039516437885+1.099482489319707e-16j),(3.9089818446549667+2.293324527363853e-16j),(2.688779146073975-6.213794280809202e-18j)
(-1.3412669021371548+3.203344147446525e-17j),(2.4094234152515046-8.186491020728726e-17j),(3.914004398203256+1.608537711953377e-16j)
(-0.9616580247225861-4.6578773214201626e-17j),(3.624350330420415+2.061136518371682e-16j),(2.7198546218487665+6.998575070806997e-18j)
(-1.299207081119495+8.759186062340807e-17j),(2.27754011885053-2.374900832138215e-16j),(4.02251557037839-1.831686847971343e-16j)
(-0.7446030052386454+4.058112571332616e-18j),(3.5311368006497155-6.55256590436155e-17j),(2.5595099718398333+5.956395241025184e-18j)
(-1.073781432961163+1.3942240520490807e-16j),(4.108957782397529-6.49703115923574e-18j),(2.018287126687199+8.911923087935875e-17j)
(-0.4913334298812776-3.3833131606713456e-17j),(3.4891314878976494+7.335559335523778e-17j),(2.281974890347423-3.952246174852426e-17j)
(-0.8175890579832845+1.7990458987412113e-17j),(4.133093158856713-2.5261735434194008e-17j),(1.8147930075895617+7.27127644678186e-18j)
(-0.37505062001141654+1.808070356425286e-17j),(3.5296852871794067+9.694795523452975e-18j),(2.041327983686907-1.992347207692287e-20j)
(-0.7416562462522738-3.230439650164306e-16j),(4.080687776186162+9.570491556963686e-17j),(1.8781407626627822-1.057278579407532e-16j)
(-0.5480749033106936+9.004979604637776e-17j),(3.62788472554706+7.134516158640224e-17j),(2.0302675875344756+3.3820540344854003e-16j)
(-0.8661696000914414+3.0911620282647366e-16j),(3.966553073811555-9.841159335154182e-17j),(2.1976754920359562-9.968230701241634e-17j)
(-0.9070623544649301+1.0191645129328327e-17j),(2.2066783902059517+4.0331202390086814e-17j),(3.738348589513668-1.0603399875067288e-16j)
(-1.0110448549208995-1.5114836404229015e-16j),(3.827552657837126-4.6092891353454246e-18j),(2.5415242522229358+4.4735350715119993e-17j)
(-1.2227262970298336-8.785276332529487e-17j),(2.3777815614225237+2.881818282518439e-17j),(3.837875162549451+3.523429268852644e-18j)
(-1.0414005178533479-9.727360538283143e-17j),(3.7037679736655105+1.8975062219268298e-17j),(2.7236579714133846-3.272375929895259e-17j)
(-1.3518394253780253-1.8104485653483124e-17j),(2.395041486967954-1.6882764691872743e-18j),(3.940082387724961-3.132741452648769e-16j)
(-0.9185243351467267+3.5211273255954055e-17j),(3.599918367330242+4.932732572530573e-17j),(2.695479759926166+4.705729133313179e-16j)
(-1.2573774258273587+8.578090738461782e-18j),(2.220797973230659-2.4912427581904702e-17j),(4.047386004527587+1.6334336843442933e-17j)
(4.7201162904979785+2.1498248884385772e-16j),(-0.9184981899897584+3.2391910894350404e-16j),(1.2039046850510258-2.058346903998147e-16j)
(-0.9430526141531745+6.286764604668434e-17j),(4.0497122124683855+1.2391155424914345e-16j),(2.4453691000320754+3.526540462920345e-17j)
(4.668627939812216+5.810792119983719e-17j),(-0.9332128061117321+3.23483310546533e-17j),(1.2956153778510588+2.0566050208025188e-17j)
(-0.750640986131047+5.806217597544838e-17j),(3.821601458255584+6.415211736790628e-17j),(2.431243326929484+2.1085261404419223e-16j)
(4.46013302682244-2.693004959088209e-16j),(-0.8364114528373642+1.3526940714233092e-16j),(1.4791254728718475+2.30087863039744e-17j)
(-0.5368532977579306-1.2509237947294292e-17j),(3.552465137545784+8.944028184603334e-17j),(2.3961357672437122-4.655091025175439e-16j)
(-0.7616198402015586-2.262725974367368e-16j),(4.173545724795994+2.4862145955232224e-16j),(1.7957950406510528-2.4439346704061645e-16j)
(-0.39294637657731624+3.7723321806554914e-18j),(3.609960860324206+1.1989209336293236e-16j),(2.0803364628505037-1.2642123081072204e-17j)
(-0.8013448266376071+8.228793560335603e-17j),(3.9173402327383013+1.3499163858264728e-16j),(2.2103055890752428+4.765030739028149e-18j)
(3.962564657356511-8.03217162581268e-17j),(-0.3929994768976842-1.5338601333194648e-17j),(1.6105569165505238+2.066826200538373e-16j)
(-0.921297708236896-1.809023203345755e-17j),(3.832800725547726-6.497273474800262e-16j),(2.5252040443998585+1.6837647383898483e-18j)
(4.352857980794271+4.326245518093819e-17j),(-0.5643310801054146-2.5075140915445793e-17j),(1.2931650276126432+3.7323836965765474e-17j)
(-1.0229704492045526+1.3868971400655048e-16j),(3.9650054266746126-3.5075157130680947e-16j),(2.576532205792136-4.540719574748349e-16j)
(4.630519981233075-1.7530026650419466e-16j),(-0.8006013042905126+9.712132353795469e-17j),(1.1903039326067972-3.2843359496275445e-17j)
(-1.0251641220707106-1.1575444353388812e-16j),(4.084770551691547-1.1934563072818286e-16j),(2.4971702383485828+1.305546933703967e-17j)
(4.724872044773715-2.630014500954914e-17j),(-0.9369702067237964+1.9584394827365867e-16j),(1.2191545179485248+5.250080166092209e-17j)
(-0.9030405737184497+8.026628544491676e-17j),(4.011152550929789+2.6532151374215786e-17j),(2.4361731888080103-4.398653442066793e-16j)
(4.6299054681636616+7.88914027626859e-17j),(-0.9155997853244088-1.6669229675542124e-17j),(1.3303168997563748-6.22221730871438e-17j)
(-1.0799906503811274-2.0981736486955535e-16j),(3.824657951858863-1.1258522191588961e-16j),(2.791833843188477-1.0664320602101997e-17j)
(-1.5597129610189082+1.1875551270482409e-16j),(3.7813962556305425-2.1986985227501518e-16j),(2.7857260130240316-2.0419699220172552e-16j)
(-0.9151235275261176-3.3935993359435283e-17j),(3.7372427115512656-7.540796026620686e-17j),(2.6896870226944833-2.237229537619049e-16j)
(-1.3933729583092263+1.596291533525267e-16j),(3.8609890936638704-2.3560787789356047e-16j),(2.5880304317142184-3.504357792148174e-17j)
(-0.6215500210531206+9.742834077011815e-18j),(3.6670051107825956+1.060138831769639e-16j),(2.3968229715396427-4.734414791460087e-18j)
(-1.073288372103868+2.7494485481677044e-16j),(3.9499559009215783-2.2313149448478056e-16j),(2.2665528991885235-5.181336033199053e-17j)
(-0.3679867734172203-2.3398791535708466e-17j),(3.64528774523758-1.0299179688462211e-16j),(2.0634449528794607+1.536828595781498e-17j)
