(-1.256105886826673+0j),(4.127105886826673+0j),(2.9290000000000003+0j)
(-1.014245763920887-1.6261037253195703e-16j),(3.8717806483464727+1.0517706887112485e-16j),(2.3875842096508406+1.922152429574235e-18j)
(-0.5800269365159558-2.735663653578978e-17j),(3.805763353160991-1.2444833029474593e-17j),(2.2780837966982124+3.980146956526432e-17j)
(-0.725948858099451-5.8699418876072176e-18j),(3.778153746854415-1.2487963391625479e-17j),(2.3379665280648974+1.8357905279232668e-17j)
(-0.6364804646079953-5.2559082189180313e-17j),(3.822398933073788-3.161185654711712e-17j),(2.1675449555340403-4.4318499796065204e-16j)
(-0.7239582757818868-5.0164013856940785e-18j),(3.8305762992561676-2.388371520898089e-16j),(2.4321968665094786+2.180894855047171e-17j)
(-0.9887370839451584-3.48513398753693e-18j),(3.975070332832585+4.5025877640019086e-17j),(2.2271378332463754+3.7479289058195205e-16j)
(-0.9526739379076972-3.571719980525895e-18j),(3.9558781641538543+2.056199591922741e-17j),(2.660417843815367+3.1607663144884567e-16j)
(-1.377471726547516-4.5906068519934025e-17j),(4.182339149371142+1.0644513853477245e-16j),(2.3048069162405707-3.2783494399209666e-17j)
(-1.1695732395725358-3.24477266910052e-17j),(4.068031153583555-2.955429617050641e-16j),(2.8431058322201803-1.1609852145399285e-16j)
(-1.5962524556060966-3.4450730899859997e-17j),(4.296948443458402-1.2656761203584801e-16j),(2.360529607283738+2.2240464857563245e-17j)
(-1.2097215228759481+5.177787392229405e-17j),(4.087662125251879+1.7388738285133203e-16j),(2.8803176492030946-3.620651848594604e-18j)
(-1.560535395231962+9.905324902084986e-18j),(4.234505049291269+4.920482694224995e-17j),(2.403094876982152-5.911015184433493e-17j)
(-1.0381726074454583+1.1782779951773274e-17j),(3.998169740909878-6.809012660446155e-17j),(2.7506280106100087-4.432930144286329e-16j)
(-0.7580893122961934-1.0828620057656443e-16j),(4.095943139618824+9.809138412277333e-17j),(1.798766400303673-4.5316334777466495e-17j)
(4.30698329751378+8.961473271113244e-19j),(-0.6843581199829447-1.0471077850614541e-16j),(1.4032946072085337-2.2925227620851323e-16j)
(4.111266980995856-1.845373381419237e-16j),(-0.5957378256107964-6.046138537914949e-17j),(1.6159242176870405-8.806818386647381e-17j)
(4.240694360786728-1.1368679964324601e-17j),(-0.6543990354225627-3.6179324055614984e-17j),(1.4497170096834486+4.754800401993957e-17j)
(3.996372967737591+1.2793371712606022e-16j),(-0.46658296710871927-1.2455267213356844e-17j),(1.5871161880873426-1.1547844991270346e-16j)
(4.06327331475078+6.71551231807017e-19j),(-0.6676125002688393+1.0192491903272689e-16j),(1.6586743607846648+1.1944813466049745e-16j)
(3.8426599088246407-5.960492133477156e-17j),(-0.43564909072959335+5.673523408683799e-17j),(1.6886520784385541+2.8696872479335075e-18j)
(-0.7451045443148807+1.697580246929233e-16j),(3.8365593584693305-6.180008265331139e-17j),(1.986052591601378+3.0643604229037783e-18j)
(-0.4896724809309818+3.480131114517004e-17j),(3.7933073862547335+4.1497676297356505e-17j),(1.7680083677223415-2.0787836211268784e-17j)
(-0.8403330047069586+1.0331784828410236e-16j),(3.6932819600016944-9.669197423211504e-17j),(2.2483043702487073-6.6258740519874034e-18j)
(3.917962868200969-8.064225939577381e-18j),(-0.5801128877367735+3.942969219827031e-17j),(1.7114293982912665-3.136546625869295e-17j)
(-0.8890681103728244+4.2748175651136244e-17j),(3.782466059182978-1.2105412473267354e-16j),(2.227793428663611+7.830594908153721e-17j)
(4.119348620902427+7.306335311245965e-17j),(-0.6608809241258409+9.001730277557432e-17j),(1.5742300650219694-5.205835342551836e-17j)
(-0.8491369347459259-9.819372571093894e-17j),(3.9878510075337563+1.5082090117841969e-16j),(1.9949285529718004+2.80439731920066e-16j)
(4.269853012831577+1.2504245351270446e-16j),(-0.6950755928001482+7.538790505746995e-17j),(1.450180614198606+2.4365885127988817e-16j)
(4.113717648820975-3.8582980385602873e-17j),(-0.7206489962608797-7.387052714640679e-17j),(1.7432409344622406+1.4312050694941011e-18j)
(4.302778661544055+6.091114858710253e-17j),(-0.6766778904032552-1.325864167954262e-17j),(1.4013875464143237-4.7652506907560037e-17j)
(4.093072047067791-3.134023281991706e-17j),(-0.5576685652809774+1.2883423295248018e-16j),(1.5932966762712861+1.2455060479246819e-16j)
(-1.4916578739316075+2.8831555452547384e-17j),(4.581477023048864-1.0881091045943797e-16j),(1.9819393293856415+2.603905965084783e-16j)
(-1.2277962025694051+2.88441884302692e-18j),(4.105558656381533-2.7831439050616735e-18j),(2.913023596611706-1.0127493796525167e-19j)
(-1.3733330852338062+2.893990953708156e-17j),(4.468972041995712-2.587387500766197e-18j),(2.009679558066862-2.553360208652537e-16j)
(-1.0308514383798792-3.924762603024461e-18j),(3.9640445362467207+8.605209783151412e-18j),(2.7920392677354022+2.2584467237802505e-18j)
(-1.0705328042112425+5.747781712317904e-17j),(4.190311566132392+1.9940081420128774e-18j),(2.080027420462696+1.6856007677787587e-17j)
(-0.7606630118159003+2.1765827437423658e-17j),(3.805338294586372+1.2477428708885302e-17j),(2.5615455687873796+4.512133732271772e-19j)
(-0.7527849633138648-1.139117216741427e-17j),(3.897868147636169-4.2921130735517795e-17j),(2.192703591447924+5.740045575581448e-18j)
(-0.6388447404095824+2.913751486912472e-18j),(3.785283538311818+6.478522835703189e-18j),(2.3092725146677946+2.195912245063231e-16j)
(-0.6492424704302868+5.0233705699336166e-18j),(3.7626098503692837+3.0419794972694026e-17j),(2.3804329681736225+6.170134911207361e-17j)
(-0.8103011186127593-1.7078976812151607e-17j),(3.9701880717681113+1.500170882276177e-17j),(2.1415885623153303+2.310607668183285e-16j)
(-0.825054411679043-4.0122205113892264e-18j),(3.8325000464654964-3.6538285376432984e-17j),(2.6316139028211856-1.0828575356211357e-18j)
(-1.1476341930104297-8.271794628273217e-18j),(4.273502625469251+1.312769822876692e-17j),(2.046104357508451-1.9914493290989626e-16j)
(-1.0933556401694333+6.049930824993504e-18j),(4.0059113683671095-4.430208630218914e-18j),(2.834205634877981-1.6197221947746004e-18j)
(-1.4202970111306827+4.922376449354246e-17j),(4.51857530878139-1.531356007381589e-17j),(1.992820463370564-2.2472978677717547e-16j)
(-1.248184314378716-3.104667784379384e-18j),(4.121082079549167-1.0639654080943843e-17j),(2.9241350997691486-2.221780708675226e-16j)
(-1.4847422915465969-6.345519671722494e-17j),(4.574192132037973+8.302305001755603e-17j),(1.9843263278543346-2.3120411736950164e-16j)
(-1.1953424548144342-5.941195310667707e-18j),(4.081108014278965-6.3798699171491865e-18j),(2.8948324708161333-4.456459324300607e-16j)
(-1.3120467454339093-3.539467038144128e-17j),(4.412029668912048-1.0713036044709943e-16j),(2.0232184241096474-3.1917411535109337e-18j)
(-0.8455381240057247-8.193869252613008e-17j),(4.012648064636495-1.1974074124595801e-16j),(1.936971313249958+9.065713130957225e-17j)
(4.165349397685373+2.1136559340593967e-16j),(-0.7848999221761401+7.231466055795906e-17j),(1.6649963885481758-6.163564903886735e-17j)
(-0.7636698666699591-1.985994725917168e-17j),(3.987072422477062-1.6354919641703884e-16j),(1.8779419381922229+1.8340914367621073e-16j)
(4.18025775541356+1.5561814986902827e-16j),(-0.6400802958642468+2.8211327768511194e-17j),(1.5106141881942459+3.8215127287491846e-17j)
(-0.6758988032192932+5.388370080027135e-18j),(3.8542828994350513+1.0989836849982897e-16j),(1.915255100466824-2.2630904104237176e-16j)
(4.099740078560351-1.7555779696128956e-16j),(-0.5325305478254811+1.7268316567592602e-16j),(1.4932872893719937+2.87463128536314e-18j)
(-0.6508249980452396-6.965810938954551e-17j),(3.670483552729064-1.7963109825801227e-16j),(2.0627285757398144+2.724460272252661e-17j)
(3.974662525962006-5.420385527050953e-17j),(-0.5559751854201734+5.561785816173394e-17j),(1.654083258534444+5.4097148340033433e-17j)
(-0.7047896664181721+3.6658529077647923e-17j),(3.5608694433796266+3.676025956764086e-17j),(2.2135847305903127+4.2618157243603193e-16j)
(-0.6796212979675376-5.4470224834441044e-17j),(3.8808817011084176+2.5977408197338456e-17j),(1.8840878444718365-2.4906293951918653e-16j)
(-0.7969995566055235+2.7968194636177036e-17j),(3.6522199948092204-1.3683111246570653e-16j),(2.202598446823883-3.352262920205328e-16j)
(-0.8055346370382601+2.4233741918454803e-17j),(3.8864820659042287+1.7742213059902985e-16j),(2.0149615303099875+1.8692218610131992e-16j)
(-0.8648420782301778+6.332847559365297e-17j),(3.8758970573463873+1.330013035364289e-16j),(2.037981018067267+3.0327058195123856e-16j)
(-0.8627212669668289-2.867817014683835e-17j),(3.967078443848387-2.1545472889712995e-16j),(1.9981469121600914-1.9995631080609493e-16j)
(-0.8553007394926933-8.762777633471836e-17j),(1.822632186434128-7.381831787218107e-17j),(4.077605000761734+5.042379174438367e-17j)
(-0.8302241173173948+5.6416616957265e-17j),(4.016761828797866+5.1915067703636734e-17j),(1.9173790034658704+2.6906178016139368e-18j)
(4.179402940223335+8.425319581729174e-17j),(-0.7526951567181946+4.824814563649871e-17j),(1.6195688950522273+8.954326347124075e-17j)
(-0.7398237736763327+3.719127999511706e-17j),(3.963616797666886+1.9903804025447157e-16j),(1.876093157544942-1.4184715324557275e-17j)
(-1.2337593533017523+6.0958274351599044e-21j),(4.118355506993247-4.5819209004734735e-19j),(2.8938642224557807+4.520962626121634e-19j)
(4.699992448602419-4.764179338815223e-18j),(-1.3088759154543101+1.0189180193092547e-16j),(1.6821253000358927-1.2488319820773944e-16j)
(-1.1278331755712832+3.58713100540416e-17j),(4.013228079119704+7.919004543064404e-17j),(2.8601499616452233-4.039053022169801e-18j)
(-1.1113444662395036-1.3305521037243978e-16j),(4.490861736817631-1.1170970349516534e-16j),(1.7580192793887874-3.279084228868393e-17j)
(-0.88648400674217+3.9623267132488225e-17j),(3.785904729337804+1.223489504441966e-16j),(2.7534511244226785+4.56123611708845e-18j)
(-0.8288926917023696+1.923634544104419e-16j),(4.156130277803059-6.4278420099047466e-18j),(1.9270248444969382+8.35341690886558e-18j)
(-0.6693823883401309-3.6040994408966307e-17j),(3.675132975507408-8.370792726710654e-17j),(2.5117906038023627+4.528158290636197e-16j)
(-0.6625349502121969+3.106432295903108e-17j),(3.855456871131713+1.1854871513964336e-18j),(2.208959491108129-2.5429441503545883e-16j)
(-0.6573200871494225+2.0659864604187327e-17j),(3.8430884131369227+6.810813657059309e-17j),(2.1787555559575904+1.8878775498150857e-16j)
(-0.741327941527003-4.578932721706482e-18j),(3.7459501705055636-2.1557374999494294e-17j),(2.5485328592623535+2.6136307721200777e-17j)
(-0.8778070373536034+5.664140741474874e-17j),(4.191196731802497+9.673382568168836e-17j),(1.9086647218343613+2.2132503771455325e-16j)
(-0.9780163411578178+2.964989760198472e-17j),(3.8725859950558177+1.9412021637858198e-16j),(2.7856010411927214-1.7255090555354368e-18j)
(-1.1631537265875223+2.402389780544557e-17j),(4.5326041520518086-2.1252793755831688e-17j),(1.7469705945527776+8.049562279727283e-17j)
(-1.1837566826318142-1.5328062194834815e-17j),(4.063483210009412-1.4728354112173115e-16j),(2.8797649991862504+1.0710045208530796e-16j)
(4.714441905462359+9.219876673783994e-18j),(-1.326090401719992+3.193339568676086e-18j),(1.6787634859060006-1.241321624246018e-17j)
(-1.2255080436481818-3.739969712579251e-17j),(4.11106985694991-1.294045616469876e-16j),(2.8909196230292395+2.708050790064724e-19j)
(4.667143802185169+1.1546430919269979e-16j),(-1.2768793154417422-1.3056945119337161e-16j),(1.692969704177074-6.816158484621538e-17j)
(-1.0769293440083394+2.189942268712643e-17j),(3.962339434314608-2.815421021007088e-17j),(2.8425953845289804+6.2547875229444716e-18j)
(-1.038591233091314+7.342805204590077e-17j),(1.9569784082259283-2.505345142257531e-17j),(4.075433672229977-4.8374600623325465e-17j)
(-0.9013988533667541-1.7872168637933162e-17j),(3.731345776212081+2.220996861567398e-17j),(2.3885930277895544-5.984895120899859e-17j)
(-0.9666631507434429-5.163550735101136e-17j),(1.7893145503026668+1.8188671998123824e-17j),(4.181658032059122+2.554914402779192e-16j)
(-0.7439091734564041+7.976729985747493e-17j),(3.6292940189730407+3.809395100449232e-17j),(2.312667482884487+3.8173911021935335e-16j)
(4.210926010419422-3.264490286520459e-17j),(-0.7877086580530787-1.0207293916906583e-16j),(1.6106224960986828+1.3471784203427024e-16j)
(-0.5890977970133007-1.3129164198479014e-17j),(3.5007786648642596-4.849580151039767e-17j),(2.2491765576572957+3.386939009324779e-17j)
(4.159260471944592+1.1152522319866229e-16j),(-0.6500467435762759-7.857207902042272e-17j),(1.5677494667183853+1.8909146074679188e-16j)
(-0.5339384898223142+2.248428787491144e-17j),(3.4602394974320405-6.975128776026741e-17j),(2.187517375230649-8.244151345901864e-18j)
(-0.6883254962807188+1.0343603062802131e-16j),(4.041652783166893+1.303586468444662e-16j),(1.7723951372536135-4.811178643549307e-18j)
(-0.6286770212484871-4.4528736072587604e-17j),(3.564928114767796+2.274341443637679e-17j),(2.1293636718662516+4.954089725183981e-17j)
(-0.8382600628593169+1.8326766517252913e-16j),(3.9007284489628478-2.5992004699734846e-16j),(2.1086521786359036+4.0971928921236706e-16j)
(-0.8210135252537916+1.2356060858777591e-17j),(2.0903577581936226+3.1160557686603724e-17j),(3.755796790571777-9.902776977663916e-17j)
(-0.9581429616170123-1.0972011810375966e-16j),(3.8013426399804846+1.7555187921330745e-17j),(2.361581150022164-7.436852351134486e-17j)
(-0.9901201999559459-3.202507061447576e-17j),(2.037182219042697+5.524658264568692e-17j),(3.952803284866497-2.3221512031211112e-17j)
(-0.9701517267400404-3.145427699299789e-17j),(3.764431891038695+9.611415110396934e-17j),(2.4262121155807463+3.7942933573909094e-16j)
(-1.035162257619404+1.5310211689410261e-16j),(1.9219019906063988+1.2654466279230354e-16j),(4.107711706958268+1.6444243016365607e-16j)
(-0.8678969942803869-3.1478776627664355e-17j),(3.7129232730134865+1.2094093293285664e-16j),(2.37032958989981-6.170658068956338e-17j)
(-0.9288847964384281-1.2228165784936008e-16j),(1.7425351683723567+1.3764866443557123e-16j),(4.196248016629146-2.3741161151124224e-16j)
(4.756387986382551+6.460944504619661e-17j),(-1.1611595236746393-4.915398149012882e-17j),(1.4459460962544979+4.0055687675189993e-17j)
(-1.1096670775892372+2.7681316867933764e-17j),(4.066312523914319+8.190279713067062e-17j),(2.7368247942748303-4.426510213861512e-16j)
(4.66920759665787-4.957820160250124e-17j),(-1.1053133160073814+8.172663082478579e-17j),(1.5077256570788011-1.4317073168480015e-16j)
(-0.9209165411632168-4.955730575980042e-17j),(3.8420549286242487+6.162734229873389e-17j),(2.71286210928703+4.3441114692324254e-17j)
(4.404963051296358-2.412741100440792e-16j),(-0.9136082631549892-1.451129079310746e-16j),(1.6659835558369551-1.687244943374241e-16j)
(-0.6817374357773693+1.3055817926052211e-17j),(3.5919420727808276+2.655797396225057e-17j),(2.6158296290910306-4.281918505071081e-16j)
(-0.7417841009507395-2.0590392916208865e-17j),(4.072742328480296-7.124001479340475e-17j),(1.951554934119897-1.3021419721541775e-16j)
(-0.5398846916744209-4.574927376897961e-17j),(3.6571653321208966+1.0418244529317852e-16j),(2.272212655369615-8.618874713982788e-17j)
(-0.7360192073778582+1.9741026598128004e-17j),(3.8172498645470956+1.9083988383238578e-16j),(2.3428166868814664+1.1463694494517773e-17j)
(-0.603216399157112+3.033763480755681e-17j),(3.9978652970950064+1.2135325553579612e-16j),(1.8549229980172097-9.617973911209514e-17j)
(-0.890351936499471+4.80844794846751e-17j),(3.782762818834837-5.854601338053957e-17j),(2.6634143597069597-4.336276759541983e-16j)
(4.391538705003289-2.454187563337904e-16j),(-0.8374536708625209+7.301682310522949e-17j),(1.5780030935904263-1.3290939854335708e-16j)
(-1.0744033519313039-1.3292314148115508e-16j),(3.9617635419905777-2.0932501261266258e-16j),(2.766171229605104+9.181246706270648e-18j)
(4.674859309687532+1.1000132443317208e-16j),(-1.0753152291462122+1.3132449239251932e-16j),(1.4591758177947687-1.5805908997880448e-16j)
(-1.1562657847228457-1.0074540152924231e-16j),(4.098538613926361-1.1434436236929468e-16j),(2.756864468254502-6.954841026494338e-18j)
(4.755115988917549-7.288671082860129e-18j),(-1.1650808438050864-2.250362801238022e-16j),(1.452969844869212-4.5230804949626726e-17j)
(-1.074986850008545+5.42490433969556e-17j),(4.028172565449849+1.6841391287097816e-16j),(2.7310420401645024+4.4347085850716e-16j)
(4.617952239785791+2.9421283250315365e-16j),(-1.0665050608763231+7.120708030890161e-17j),(1.5363959122004203-1.4337530788702355e-16j)
