lambda1,lambda2,lambda3
-0.3853822270166325,2.5282393319198575,3.6691428950967753
-0.38117119422488377,2.531505082307501,3.661666111917385
-0.3770156976250915,2.534775212566382,3.6542404850587085
-0.3729325823429651,2.538035643675954,3.6468969386670107
-0.36893847070365565,2.541271662603033,3.639666808100623
-0.365049690723327,2.5444679763476152,3.632581714375713
-0.3612822047392136,2.547608781365423,3.6256734233737915
-0.35765153855541487,2.550677849424826,3.6189736891305895
-0.3541727114974688,2.5536586306612787,3.6125140808361906
-0.35086016778138596,2.556534374198405,3.6063257935829807
-0.34772770961189514,2.559288266207092,3.6004394434048033
-0.3447884324298324,2.561903584674732,3.5948848477550994
-0.3420546627294309,2.5643638694666775,3.589690793262754
-0.33953789886266567,2.566653105501943,3.5848847933607235
-0.3372487552393446,2.568755916066877,3.580492839172467
-0.3351969103184791,2.570657762496965,3.576539147821514
-0.3333910587683403,2.5723451457204045,3.573045913047936
-0.331838868149706,2.573805804536844,3.570033063612862
-0.33054694044932914,2.5750289050613464,3.567518035387981
-0.32952077875873836,2.5760052155540736,3.565515563204666
-0.3287647593575631,2.57672726092562,3.5640374984319427
-0.3282821094210338,2.5771894515839997,3.5630926578370357
-0.32807489052872474,2.577388181975837,3.5626867085528877
-0.3281439881064051,2.57732189514852,3.5628220929578855
-0.32848910688588945,2.5769911108718593,3.5634979960140294
-0.3291087724194333,2.5763984162337468,3.564710356185686
-0.33000033863649725,2.575548419073717,3.566451919562783
-0.33116000138203977,2.5744476660430453,3.5687123353389953
-0.332582817827743,2.5731045283843317,3.5714782894434087
-0.334262731601469,2.57152905962436,3.574733671977108
-0.3361926034362068,2.569732830208977,3.578459773227231
-0.3383642470986679,2.567728744641192,3.5826355024574736
-0.34076847031990437,2.565530846904422,3.5872376234154837
-0.3433951204163736,2.56315411987794,3.5922410005384338
-0.3462331342600655,2.560614284118683,3.597618850141381
-0.3492705922312085,2.5579276008442555,3.6033429913869535
-0.3524947757664173,2.5551106832659127,3.6093840925005036
-0.3558922280996084,2.552180319648299,3.615711908451312
-0.35944881778214605,2.549153310670667,3.6222955071114775
-0.3631498045626539,2.5460463228805534,3.6291034816821006
-0.3669799072056563,2.542875759302433,3.6361041479032234
-0.37092337283113314,2.5396576476174477,3.6432657252136846
-0.3749640473643409,2.5364075457809077,3.6505565015834307
-0.37908544669607924,2.533140464498583,3.6579449821974976
-0.38327082816795965,2.529870805639465,3.665400022528494
-0.38750326201427826,2.526612315414881,3.6728909465993973
-0.3917657024118637,2.5233780509913726,3.680387651420493
-0.39604105781085475,2.5201803591154732,3.6878606986953817
-0.4003122602424284,2.5170308652990556,3.695281394943373
-0.4045623333238252,2.513940472132198,3.702621861191628
-0.4087744587056666,2.51091936534441,3.7098550933612566
-0.41293204073166534,2.507977026314639,3.716955014417025
-0.417018769105518,2.5051222498267043,3.723896519278814
-0.4210186793841303,2.502363165972775,3.730655513411357
-0.4249162111396511,2.499707265217366,3.737208945922286
-0.42869626365519264,2.4971614257437014,3.7435348379114908
-0.43234424904007585,2.4947319423101133,3.7496123067299596
-0.4358461426700138,2.4924245559440927,3.755421586725919
-0.4391885308755382,2.490244483894185,3.760944046981353
-0.44235865581822426,2.48819644934446,3.7661622064737643
-0.4453444575086893,2.4862847104722765,3.771059747036412
-0.44813461293315765,2.484513088497651,3.775621524435507
-0.4507185722662208,2.48288499443186,3.7798335778343612
-0.45308659215673697,2.4814034542845596,3.783683137872176
-0.45522976608140714,2.48007113253309,3.7871586335483145
-0.4571400517665577,2.478890353695462,3.790249698071098
-0.4588102956832731,2.477863121880461,3.792947173802811
-0.46023425462418965,2.476991138214993,3.7952431164091944
-0.4614066143722574,2.476275816070709,3.7971307983015476
-0.46232300547270777,2.4757182940302096,3.7986047114424966
-0.4629800161192772,2.4753194465476795,3.7996605695715977
-0.4633752021649498,2.4750798922707355,3.800295309894215
-0.46350709426587056,2.4749999999999988,3.8005070942658703
-0.46337520216494943,2.4750798922707355,3.800295309894215
-0.46293960691735353,2.4751222360939438,3.7996599514859133
-0.46223954491479236,2.4753181019401698,3.7986068397172867
-0.46127593534809486,2.4756634614371036,3.7971410788358155
-0.46005069281939254,2.476154081044182,3.7952689732776888
-0.45856672829126155,2.4767855349445456,3.7929980155691982
-0.4568279470322502,2.4775532158618345,3.790336873300165
-0.45483924350949695,2.478452343862956,3.7872953750593146
-0.4526064931761056,2.4794779732137275,3.783884495212263
-0.4501365410976848,2.4806249973616765,3.7801163373925597
-0.4474371873600229,2.4818881521289162,3.776004116564984
-0.44451716919795253,2.483262017208512,3.7715621395078043
-0.4413861397844011,2.484741016070473,3.766805783547071
-0.43805464361879864,2.4863194143987633,3.7617514733608743
-0.4345340884554932,2.487991317198473,3.7564166556551712
-0.4308367137159337,2.4897506647333154,3.750819771494981
-0.4269755553334473,2.491591227477545,3.7449802260558007
-0.4229644069865183,2.49350660029358,3.7389183555399605
-0.4188177776860399,2.4954901960771707,3.7326553909817943
-0.41455084569419076,2.4975352391452548,3.726213418644121
-0.4101794087674474,2.4996347586779777,3.7196153366873985
-0.40571983073440665,2.5017815825645036,3.7128848077725127
-0.4011889844400742,2.5039683320420854,3.7060462072397047
-0.3966041911128344,2.5061874175576766,3.6991245664905854
-0.39198315623797675,2.508431036320126,3.6921455111892256
-0.38734390205268593,2.510691172046759,3.6851351938935473
-0.38270469681157465,2.512959597438646,3.6781202207319277
-0.37808398100904894,2.515227879941615,3.671127571754303
-0.3735002907845116,2.5174873913620672,3.6641845146149254
-0.36897217877864186,2.5197293219045944,3.6573185112880076
-0.3645181327526644,2.52194469917894,3.650557117580826
-0.36015649232754704,2.524124412683278,3.643927875294275
-0.35590536424525526,2.526259244205998,3.637458196990949
-0.3517825365989198,2.5283399044960913,3.6311752434676157
-0.34780539252205506,2.5303570764307755,3.6251057941935905
-0.3439908238675887,2.532301464757333,3.619276111168996
-0.3403551454446273,2.5341638523045518,3.613711796875405
-0.3369140104131199,2.535935162350499,3.6084376472324644
-0.33368232746304033,2.5376065266020174,3.603477500731766
-0.3306741804241929,2.5391693579947012,3.5988540851853403
-0.32790275096415467,2.540615427269793,3.5945888637899763
-0.3253802450345365,2.541936942038229,3.590701882457335
-0.32311782371869485,2.5431266268158743,3.5872116205790014
-0.3211255391169899,2.5441778023226016,3.584134847569984
-0.3194122758780732,2.5450844621960766,3.581486487648289
-0.31798569894680206,2.5458413451928976,3.5792794953486027
-0.31685220805110853,2.5464440009462095,3.577524744223298
-0.3160168993924178,2.5468888474277085,3.5762309310474456
-0.31548353493740117,2.547173218425812,3.5754044976139294
-0.31525451963446627,2.5472953995976453,3.575049571884362
-0.3153308867974787,2.5472546519717985,3.575167929861431
-0.3157122918134199,2.547051222156985,3.575758979084161
-0.3163970142417235,2.5466863389300087,3.5768197641405415
-0.3173819682826634,2.5461621963124057,3.5783449940654397
-0.318662721502304,2.545481923675147,3.5803270909719602
-0.32023352161385815,2.544649543811644,3.582756258775822
-0.3220873310318684,2.5436699202701543,3.5856205704380777
-0.3242158688376435,2.542548695520712,3.5889060717894377
-0.3266096597237715,2.541292221737335,3.592596899723266
-0.32925808942305657,2.5399074860975537,3.5966754123604927
