Alpha,Energy
0.02,4.308026276081522
0.02,4.310153479586811
0.02,4.326073562265864
0.02,4.32662975280885
0.02,4.344980992500257
0.02,4.345032675500101
0.02,4.3670978014665955
0.02,4.367099531932037
0.02,4.3939895534503295
0.02,4.393989576417528
0.02,4.427060785747328
0.02,4.427060785882181
0.02,4.466853198853055
0.02,4.4668531988558895
0.02,4.512784617123508
0.02,4.512784617245965
0.02,4.5633910769896335
0.02,4.5633910836095275
0.02,4.616532414029025
0.02,4.616532797392835
0.02,4.669482528385362
0.02,4.669502614115552
0.02,4.718399460000312
0.02,4.719140223806607
0.02,4.754719185454073
0.02,4.7642770989082655
0.02,4.788488658730144
0.02,4.811881822055592
0.02,4.839182559293209
0.02,4.8692207227925905
0.02,4.90231790380476
0.02,4.938784029087668
0.02,4.979029186572467
0.02,5.023460895711806
0.02,5.072436193974091
0.06,-1.526200499065229
0.06,-1.5262004659365103
0.06,-1.5262003143003504
0.06,-1.4852245655936616
0.06,-1.4852244873963016
0.06,-1.4852227183420061
0.06,-1.4572827302037785
0.06,-1.4572820643089224
0.06,-1.4572741555539157
0.06,-1.4012349245191749
0.06,-1.4011661951202705
0.06,-1.4011624965701206
0.06,-1.3288791277514782
0.06,-1.328864494383908
0.06,-1.3287527540696127
0.06,-1.2475329741982342
0.06,-1.2474806666431209
0.06,-1.2471946611522353
0.06,-1.1633159279079144
0.06,-1.1610857720247092
0.06,-1.1608956680159246
0.06,-1.0777459191103045
0.06,-1.0771805726876555
0.06,-1.0727818070881885
0.06,-0.9973024082913828
0.06,-0.9926509055883556
0.06,-0.9905486762547672
0.06,-0.9302438008521796
0.06,-0.9145505890396554
0.06,-0.9096380730748568
0.06,-0.8671914780849832
0.06,-0.8631344726688622
0.06,-0.8187598154726822
0.06,-0.8020657899789113
0.06,-0.7485098807827266
0.06,-0.7295954086302351
0.06,-0.7176413159177581
0.06,-0.7065850899463547
0.06,-0.6960875160851553
0.06,-0.6870550481403748
0.06,-0.6828152893652945
0.06,-0.5888780164227982
0.06,-0.5880266799863177
0.06,-0.5320350379059176
0.06,-0.4413678913729405
0.06,-0.44134672130387465
0.06,-0.40552575049001915
0.06,-0.34875739923625737
0.06,-0.3487239260636685
0.06,-0.29195209286868395
0.06,0.8587449284238541
0.06,0.8587501678613907
0.06,0.9839521255768935
0.06,1.1625959488197648
0.06,1.3030161556993485
0.06,1.3031676282396105
0.06,1.4465665725321406
0.06,1.5009978293864086
0.06,1.5067960073183946
0.06,1.5250849568044988
0.06,1.531897670751505
0.06,1.5406469790382868
0.06,1.5978619668537757
0.06,1.617216359647437
0.06,1.6238187692168906
0.06,1.6527654172402426
0.06,1.681794458614177
0.06,1.7013926857031343
0.06,1.7177718554250485
0.06,1.7317165730698925
0.06,1.7619406812291483
0.06,1.7813102635085059
0.06,1.787838703036371
0.06,1.8275084179517749
0.06,1.8302082535254334
0.06,1.8383701146418854
0.06,1.8760876141219147
0.06,1.876800347827758
0.06,1.8804635166250065
0.06,1.9037570726287445
0.06,1.904917937917339
0.06,1.90710497041364
0.06,1.9796990100125846
0.06,1.9816830208093785
0.06,1.9820211447638876
0.06,2.000799534285541
0.06,2.001650369233021
0.06,2.001856530892287
0.06,2.1002698680660328
0.06,2.1003312433185943
0.06,2.100924138605689
0.06,2.105271976429583
0.06,2.105322465294627
0.06,2.105842393476027
0.06,2.1903987325165613
0.06,2.1905061409789894
0.06,2.1905156880448193
0.06,2.1917397493490687
0.06,2.1918427078647027
0.06,2.1918515827061396
0.06,4.0424545223898445
0.06,4.042454522393175
0.06,4.072519863478342
0.06,4.116681646649615
0.06,4.141990517606705
0.06,4.141990517755769
0.06,4.1996870087576745
0.06,4.2133287541901705
0.06,4.213328756025794
0.06,4.24910965403975
0.06,4.2645255291406485
0.06,4.264525537632895
0.06,4.280801662219523
0.06,4.299377555935066
0.06,4.299377577067482
0.06,4.323671175127957
0.06,4.323671200418297
0.06,4.3266042263497235
0.06,4.332424988044294
0.06,4.350833447496813
0.06,4.3508336260380975
0.06,4.370060166897851
0.06,4.370060169084711
0.06,4.3947968123194805
0.06,4.395098510442165
0.06,4.427577741581565
0.06,4.427581884112118
0.06,4.467106666467751
0.06,4.467106666469181
0.06,4.5129270791419716
0.06,4.512928487964534
0.06,4.5633522146029994
0.06,4.5636077744959405
0.06,4.6165540804850025
0.06,4.616554080488908
0.06,4.669369073167305
0.06,4.669369080087861
0.06,4.712693715093087
0.06,4.725459509045446
0.06,4.758120968386672
0.06,4.7581209684686705
0.06,4.811455204589299
0.06,4.811455204721623
0.06,4.819847624478963
0.06,4.90084853691607
0.06,4.901974359728607
0.06,4.901974359743302
0.06,5.020249340955216
0.06,5.020249340956461
0.06,5.020293879820483
0.14,-1.5872948579802308
0.14,-1.5869847412087088
0.14,-1.586983319478261
0.14,-1.5862854107099875
0.14,-1.586285330365194
0.14,-1.5857067045875255
0.14,-1.5855143176362678
0.14,-1.43274723613253
0.14,-1.4314626005165323
0.14,-1.4303926165350547
0.14,-1.4293111351236927
0.14,-1.4287694482477793
0.14,-1.4272420147824296
0.14,-1.4264012443517422
0.14,-1.2332349032400562
0.14,-1.2297916699289664
0.14,-1.2206338971025048
0.14,-1.220221289159898
0.14,-1.20449637863853
0.14,-1.2024926693710662
0.14,-1.1912626459547693
0.14,-1.0504921915540368
0.14,-1.0287266223731057
0.14,-1.0210277529081848
0.14,-0.9902933097896041
0.14,-0.9898803473872293
0.14,-0.9503641967760642
0.14,-0.9432257972022375
0.14,-0.830812303786687
0.14,-0.8050624336378936
0.14,-0.7797305220252886
0.14,-0.7670209193072223
0.14,-0.748836367941084
0.14,-0.7306359027806806
0.14,-0.7123172501394468
0.14,-0.6576065912070944
0.14,-0.6422947604876965
