Alpha,Energy
0.01,-1.4991105102068918
0.01,-1.4981907419711242
0.01,-1.4853169143519462
0.01,-1.4782729872883336
0.01,-1.467552301741231
0.01,-1.4567142372503556
0.01,-1.4455022758365483
0.01,-1.4344890480034231
0.01,-1.4317928174686692
0.01,-1.4317636221298677
0.01,-1.424117414969156
0.01,-1.4177781844053399
0.01,-1.4173288626943727
0.01,-1.4148115929848184
0.01,-1.4092343826827372
0.01,-1.40781499909075
0.01,-1.4035022822284569
0.01,-1.4018335446729577
0.01,-1.3954389723987923
0.01,-1.3933281265902093
0.01,-1.3877999614489216
0.01,-1.3794592235386638
0.01,-1.3705207616020407
0.01,-1.3610557822628957
0.01,-1.3511195707114623
0.01,-1.340758236075141
0.01,-1.330011867744438
0.01,-1.31891629101455
0.01,-1.307504142159547
0.01,-1.2958055728317905
0.01,-1.2838487362180668
0.01,-1.2716601371734306
0.01,-1.259264893772253
0.01,-1.246686939122143
0.01,-1.233949181746572
0.01,-1.221073636585554
0.01,-1.2080815348105443
0.01,-1.1949934182005566
0.01,-1.1818292222586215
0.01,-1.1686083512075738
0.01,-1.1553497472332845
0.01,-1.1420719562595292
0.01,-1.12879319181053
0.01,-1.1155313976226602
0.01,-1.102304315626838
0.01,-1.0891295517316053
0.01,-1.076024641212385
0.01,-1.0630071761097823
0.01,-1.050094808312109
0.01,-1.03730538968873
0.01,-1.024657509946279
0.01,-1.0121692406256675
0.01,-0.9998605170901668
0.01,-0.9877537310217079
0.01,-0.9758622927344851
0.01,-0.9642227546826042
0.01,-0.9528534770060412
0.01,-0.9417348785290933
0.01,-0.931023565669276
0.01,-0.9205310963745954
0.01,-0.9103116149234743
0.01,-0.9009021070959295
0.01,-0.8907398551588076
0.01,-0.8818715724070174
0.01,-0.8740586593153843
0.01,-0.8619461540493082
0.01,-0.8569055156260503
0.01,-0.850459255372754
0.01,-0.8348753564759305
0.01,-0.8317197514415736
0.01,-0.8232530120929066
0.01,-0.807404856231899
0.01,-0.8028368687271077
0.01,-0.7843832099869853
0.01,-0.7765765853536418
0.01,-0.7705968696588844
0.01,-0.7429349311827084
0.01,-0.7357972079753671
0.01,-0.7355222088801758
0.01,-0.7069105657217921
0.01,-0.6980192739157289
0.01,-0.668868261754639
0.01,-0.6586170349750503
0.01,-0.6294334289457639
0.01,-0.6175099608767424
0.01,-0.5888393984936886
0.01,-0.5766323681425967
0.01,-0.5498619885131542
0.01,-0.5343838307444582
0.01,-0.5092253587094724
0.01,-0.4938816469540751
0.01,-0.47403763723740816
0.01,-0.4496000891918891
0.01,-0.4270810054269171
0.01,-0.36632674360389506
0.01,-0.34163690247574785
0.01,-0.2548036622463492
0.01,-0.2311297388375421
