Alpha,Energy,p/151
0.006622516556291391,1.350592933308979,1/151
0.006622516556291391,1.3550875760077028,1/151
0.006622516556291391,1.360805695409704,1/151
0.006622516556291391,1.3651335991628626,1/151
0.006622516556291391,1.3703491796908833,1/151
0.006622516556291391,1.374504984085017,1/151
0.006622516556291391,1.3794292220629352,1/151
0.006622516556291391,1.3833662716986592,1/151
0.006622516556291391,1.3875927498000884,1/151
0.006622516556291391,1.391327924360313,1/151
0.006622516556291391,1.3956167084920923,1/151
0.006622516556291391,1.3990627965101814,1/151
0.006622516556291391,1.4021329623920105,1/151
0.006622516556291391,1.4052441363944987,1/151
0.006622516556291391,1.4088859645483998,1/151
0.006622516556291391,1.4118514129483437,1/151
0.006622516556291391,1.4142256271335665,1/151
0.006622516556291391,1.4160120478067517,1/151
0.006622516556291391,1.4195249195192818,1/151
0.006622516556291391,1.4228413143745098,1/151
0.006622516556291391,1.4272464944112655,1/151
0.006622516556291391,1.427497059222053,1/151
0.006622516556291391,1.43253528595614,1/151
0.006622516556291391,1.4363517860832784,1/151
0.006622516556291391,1.4414921223391552,1/151
0.006622516556291391,1.4426315332887394,1/151
0.006622516556291391,1.448166813702022,1/151
0.006622516556291391,1.4521271918382799,1/151
0.006622516556291391,1.4575313634410694,1/151
0.006622516556291391,1.4600475052606043,1/151
0.006622516556291391,1.465778976067594,1/151
0.006622516556291391,1.4697261718356196,1/151
0.006622516556291391,1.4752565875128354,1/151
0.006622516556291391,1.4793017541238704,1/151
0.006622516556291391,1.485108847989324,1/151
0.006622516556291391,1.4889246442997632,1/151
0.006622516556291391,1.4944538752523595,1/151
0.006622516556291391,1.5002694697849663,1/151
0.006622516556291391,1.506014219004669,1/151
0.006622516556291391,1.5095866065462442,1/151
0.006622516556291391,1.5149661069193483,1/151
0.006622516556291391,1.522912485900868,1/151
0.006622516556291391,1.528411938537729,1/151
0.006622516556291391,1.531615852828629,1/151
0.006622516556291391,1.536643585661657,1/151
0.006622516556291391,1.547294725800403,1/151
0.006622516556291391,1.5522611780313575,1/151
0.006622516556291391,1.5549302466904438,1/151
0.006622516556291391,1.559288564353004,1/151
0.006622516556291391,1.5737251942441985,1/151
0.006622516556291391,1.5775794840187065,1/151
0.006622516556291391,1.5794257338140911,1/151
0.006622516556291391,1.5825026203286054,1/151
0.006622516556291391,1.7185060881666672,1/151
0.013245033112582781,-0.03184783519691538,2/151
0.013245033112582781,-0.03179373666562199,2/151
0.013245033112582781,0.019989787737601995,2/151
0.013245033112582781,0.01999173561631394,2/151
0.013245033112582781,0.07050930357912362,2/151
0.013245033112582781,0.0705331213186447,2/151
0.013245033112582781,0.1198475395537463,2/151
0.013245033112582781,0.11985034413580722,2/151
0.013245033112582781,0.16794750640077588,2/151
0.013245033112582781,0.16796308728950332,2/151
0.013245033112582781,0.2148874328958806,2/151
0.013245033112582781,0.21489079532830843,2/151
