    p     	    q     	        p/q         	         y          	eigenvalue
    1     	    32    	         1/32        	      0.03125       	[0.3746747732 0.4288917946 0.5043836874 0.5691447058 0.6276587745 0.6922564529 0.7389381098 0.7995827978 0.8370184947 0.892200092  0.9229304207 0.9695911229 0.992562405  1.0341059144 1.0574787667 1.0929725824 1.1081885154 1.1397830554 1.1794514581 1.2170800502 1.227121785  1.2550348298 1.2951935757 1.3293274329 1.3356270914 1.3544336563 1.3826041181 1.403756476  1.4124142752 1.417259983  1.4273644182 1.4529683844]
    1     	    33    	         1/33        	0.030303030303030304	[0.3731604108 0.4254160265 0.4993467391 0.5620586837 0.6196659304 0.6825189554 0.7286862097 0.7881092378 0.8256118786 0.879396093  0.9092692468 0.9586602456 0.9842108517 1.018388023  1.0368446792 1.0829397787 1.1101078546 1.1205043017 1.145189333  1.1956776705 1.2318958897 1.2362087194 1.2606402959 1.3036137348 1.3366996045 1.3407581639 1.3580142988 1.3854513083 1.4056862037 1.4131377374 1.4190326749 1.4278494121 1.4532498067]
    1     	    34    	         1/34        	0.029411764705882353	[0.3717216781 0.422136576  0.4945732015 0.5553451937 0.6120637784 0.6732579341 0.7189646514 0.7770579335 0.8142273691 0.8676366277 0.8982662135 0.9449851745 0.9686678832 1.0105827306 1.0320911462 1.065412359  1.0812280043 1.1110664484 1.1454462657 1.1806992699 1.1913759923 1.219624052  1.2589280079 1.2929880297 1.3000561049 1.3211833292 1.3533597811 1.3800878292 1.3834296065 1.395876127  1.4165807361 1.4234503465 1.428404567  1.4532250519]
    1     	    35    	         1/35        	0.02857142857142857 	[0.3703528672 0.4190373199 0.4900422271 0.5489763997 0.6048333319 0.6644311883 0.7096413333 0.7665241481 0.8035903382 0.8559129958 0.8860792001 0.9338900148 0.9593159323 0.9963885437 1.0150854453 1.057733668  1.0806333945 1.0940026458 1.1153855785 1.1631240839 1.1961698738 1.2010026356 1.22518844   1.2691137721 1.3024404591 1.3063182371 1.3253881434 1.357907951  1.383084743  1.3864923014 1.3975461001 1.4180420711 1.4236373462 1.4291378333 1.4535494363]
    1     	    36    	         1/36        	0.027777777777777776	[0.3690488145 0.4161038633 0.4857359189 0.5429264421 0.5979429523 0.6560153482 0.7007516851 0.7564046586 0.7931889089 0.8448583769 0.8753653004 0.9216290479 0.945990608  0.9876268289 1.0088147202 1.0415015719 1.0576975556 1.086672124  1.1152430992 1.1480492428 1.1592432583 1.1871330532 1.2244946702 1.2576220013 1.2653492525 1.2879999144 1.3218456752 1.3504741153 1.3554324241 1.3702832393 1.3924682343 1.4090834817 1.4182118969 1.4210481886 1.4296876928 1.4540558338]
    1     	    37    	         1/37        	0.02702702702702703 	[0.3678048753 0.413323292  0.4816376441 0.5371723466 0.5913723897 0.6479800242 0.6922313224 0.7467206011 0.7833158739 0.8340419701 0.8642835465 0.9107639857 0.9361788251 0.9749230684 0.9943035824 1.0344668962 1.0547506984 1.0717405021 1.0897276264 1.1340220331 1.1634036255 1.1692099059 1.1924448216 1.2362237383 1.2687444641 1.2723951099 1.2925908503 1.327892188  1.3556770269 1.3591910648 1.3730261669 1.3944221966 1.4103964649 1.4186161224 1.4225652123 1.4301417033 1.4542982347]
    1     	    38    	         1/38        	0.02631578947368421 	[0.3666168388 0.4106839995 0.4777326371 0.5316930499 0.5850981659 0.6403025507 0.6840804258 0.7374201131 0.7737478087 0.8237133505 0.8540642375 0.8995414945 0.9243920417 0.9654888309 0.9867850852 1.0199709004 1.0363531405 1.0657409791 1.0887184735 1.1191295731 1.1307464139 1.1577354719 1.1924019166 1.2241401141 1.2324175701 1.2559563448 1.2901639996 1.3194606752 1.3250404955 1.3420655402 1.3686012389 1.3905745512 1.3928686936 1.4030444406 1.4208024936 1.4256511978 1.4306627651 1.4543923808]
    1     	    39    	         1/39        	0.02564102564102564 	[0.3654808893 0.4081755196 0.4740073531 0.5264695459 0.5791018055 0.632959054  0.6762626808 0.7284981596 0.7645935168 0.8136886047 0.8438601969 0.8891214914 0.9145485442 0.9539898403 0.9741326621 1.0124853894 1.0315437197 1.052365228  1.0677712296 1.108253862  1.1337814624 1.1408567015 1.1626306437 1.205446567  1.2364007851 1.2400351535 1.2607109107 1.2976246472 1.3263364696 1.3298298365 1.3453878947 1.3719169337 1.3924458909 1.3953095229 1.4042413869 1.4219718968 1.4258489345 1.4312691402 1.4546459295]
    1     	    40    	         1/40        	       0.025        	[0.3643935543 0.4057883936 0.4704495726 0.521484455  0.5733646742 0.6259293422 0.668766743  0.71992382   0.7557524176 0.8040576738 0.8342141007 0.8787181301 0.9038573397 0.9443196775 0.9657707499 0.9997682583 1.0164097724 1.0468490204 1.0655853554 1.0937732984 1.1057528483 1.1314567031 1.1628834713 1.1930071649 1.2017485916 1.2256451042 1.2592558954 1.2883679873 1.2945187412 1.313095745  1.3416931044 1.3659065708 1.3699416752 1.3818851596 1.3994488806 1.4128584449 1.4224780135 1.4241404458 1.4317584507 1.4549806531]
    2     	    3     	         2/3         	 0.6666666666666666 	[0.678 1.23  1.23 ]
