alpha,epsilon
0.006622516556291391,-3.9586055591768874
0.006622516556291391,-3.876247304315124
0.006622516556291391,-3.7947480874723802
0.006622516556291391,-3.7141035018890474
0.006622516556291391,-3.6343091899785143
0.006622516556291391,-3.555360844342075
0.006622516556291391,-3.4772542088442164
0.006622516556291391,-3.399985079752825
0.006622516556291391,-3.3235493069482254
0.006622516556291391,-3.2479427952063724
0.006622516556291391,-3.17316150556147
0.006622516556291391,-3.0992014567534354
0.006622516556291391,-3.02605872676677
0.006622516556291391,-2.9537294544676986
0.006622516556291391,-2.8822098413468042
0.006622516556291391,-2.8114961533754683
0.006622516556291391,-2.741584722985099
0.006622516556291391,-2.672471951178938
0.006622516556291391,-2.60415430978701
0.006622516556291391,-2.536628343876457
0.006622516556291391,-2.469890674329997
0.006622516556291391,-2.4039380006069746
0.006622516556291391,-2.338767103703123
0.006622516556291391,-2.2743748493265863
0.006622516556291391,-2.210758191309649
0.006622516556291391,-2.1479141752784057
0.006622516556291391,-2.0858399426041436
0.006622516556291391,-2.0245327346640285
0.006622516556291391,-1.963989897441132
0.006622516556291391,-1.9042088864981257
0.006622516556291391,-1.8451872723626945
0.006622516556291391,-1.7869227463681099
0.006622516556291391,-1.7294131269974984
0.006622516556291391,-1.6726563667873073
0.006622516556291391,-1.6166505598526757
0.006622516556291391,-1.5613939501063672
0.006622516556291391,-1.5068849402531093
0.006622516556291391,-1.4531221016533644
0.006622516556291391,-1.4001041851644138
0.006622516556291391,-1.3478301330838411
0.006622516556291391,-1.2962990923399837
0.006622516556291391,-1.2455104290979595
0.006622516556291391,-1.1954637449783003
0.006622516556291391,-1.1461588951193609
0.006622516556291391,-1.0975960083565892
0.006622516556291391,-1.0497755098421186
0.006622516556291391,-1.0026981464904816
0.006622516556291391,-0.9563650157128836
0.006622516556291391,-0.9107775979977972
0.006622516556291391,-0.8659377940151088
0.006622516556291391,-0.8218479670716405
0.006622516556291391,-0.7785109919378623
0.006622516556291391,-0.7359303113121508
0.006622516556291391,-0.6941100015090708
0.006622516556291391,-0.6530548493789022
0.006622516556291391,-0.6127704430213413
0.006622516556291391,-0.573263279619733
0.006622516556291391,-0.5345408946950458
0.006622516556291391,-0.49661201873474914
0.006622516556291391,-0.4594867681944415
0.006622516556291391,-0.4231768847196932
0.006622516556291391,-0.3876960251643066
0.006622516556291391,-0.35306017090619163
0.006622516556291391,-0.31928801519789707
0.006622516556291391,-0.28640199159831253
0.006622516556291391,-0.2544279043375946
0.006622516556291391,-0.2234003167214628
0.006622516556291391,-0.1933513787311835
0.006622516556291391,-0.1643531982506803
0.006622516556291391,-0.13640761374543345
0.006622516556291391,-0.10977611987115372
0.006622516556291391,-0.0841445844160129
0.006622516556291391,-0.06080012543700717
0.006622516556291391,-0.0376314574939654
0.006622516556291391,-0.019602868405308876
0.006622516556291391,0.0014537491443116404
0.006622516556291391,0.017167628786423462
0.006622516556291391,0.03912375776705006
0.006622516556291391,0.06005910427386656
0.006622516556291391,0.08446990096262097
0.006622516556291391,0.1096441460267666
0.006622516556291391,0.13645803652936606
0.006622516556291391,0.16433489102143473
0.006622516556291391,0.19335772780603447
0.006622516556291391,0.22339820624917206
0.006622516556291391,0.25442857841775907
0.006622516556291391,0.2864017843316711
0.006622516556291391,0.31928807664173936
0.006622516556291391,0.3530601533239821
0.006622516556291391,0.38769603002536435
0.006622516556291391,0.42317688342015425
0.006622516556291391,0.4594867685305839
0.006622516556291391,0.4966120186505785
0.006622516556291391,0.5345408947154571
0.006622516556291391,0.5732632796149375
0.006622516556291391,0.6127704430224339
0.006622516556291391,0.6530548493786617
0.006622516556291391,0.6941100015091216
0.006622516556291391,0.7359303113121414
0.006622516556291391,0.7785109919378638
0.006622516556291391,0.8218479670716372
0.006622516556291391,0.8659377940151087
0.006622516556291391,0.9107775979977976
0.006622516556291391,0.9563650157128821
0.006622516556291391,1.0026981464904827
0.006622516556291391,1.0497755098421164
0.006622516556291391,1.0975960083565883
0.006622516556291391,1.1461588951193606
0.006622516556291391,1.1954637449783037
0.006622516556291391,1.2455104290979637
0.006622516556291391,1.2962990923399806
0.006622516556291391,1.3478301330838411
0.006622516556291391,1.400104185164412
0.006622516556291391,1.4531221016533615
0.006622516556291391,1.5068849402531113
0.006622516556291391,1.5613939501063627
0.006622516556291391,1.616650559852681
0.006622516556291391,1.6726563667873098
0.006622516556291391,1.7294131269974962
0.006622516556291391,1.7869227463681094
0.006622516556291391,1.845187272362693
0.006622516556291391,1.9042088864981246
0.006622516556291391,1.963989897441135
0.006622516556291391,2.0245327346640294
0.006622516556291391,2.0858399426041494
0.006622516556291391,2.147914175278403
0.006622516556291391,2.210758191309646
0.006622516556291391,2.2743748493265796
0.006622516556291391,2.338767103703134
0.006622516556291391,2.403938000606978
0.006622516556291391,2.469890674330007
0.006622516556291391,2.5366283438764725
0.006622516556291391,2.604154309787003
0.006622516556291391,2.6724719511789288
0.006622516556291391,2.7415847229851096
0.006622516556291391,2.8114961533754617
0.006622516556291391,2.882209841346804
0.006622516556291391,2.953729454467704
0.006622516556291391,3.0260587267667653
