Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6,Lambda7,Lambda8,Lambda9
-0.6473078904180921,-0.6473078904180914,2.65875827043668,2.6587582704366803,3.6305496199814105,3.6305496199814113,-0.6473078904180921,-0.6473078904180914,2.65875827043668
-0.6445428412431679,-0.6445428412431671,2.654208940591063,2.654208940591064,3.6323339006521014,3.6323339006521027,-0.6445428412431679,-0.6445428412431671,2.654208940591063
-0.642140249154939,-0.6421402491549387,2.650270264594156,2.6502702645941563,3.6338699845607803,3.6338699845607816,-0.642140249154939,-0.6421402491549387,2.650270264594156
-0.6401406820813732,-0.6401406820813726,2.647002259699008,2.6470022596990086,3.6351384223823646,3.635138422382367,-0.6401406820813732,-0.6401406820813726,2.647002259699008
-0.6385780597952182,-0.6385780597952179,2.644454599992635,2.6444545999926357,3.6361234598025844,3.6361234598025867,-0.6385780597952182,-0.6385780597952179,2.644454599992635
-0.6374789898386228,-0.6374789898386224,2.6426659395766574,2.6426659395766587,3.6368130502619644,3.6368130502619653,-0.6374789898386228,-0.6374789898386224,2.6426659395766574
-0.6368622393976415,-0.6368622393976403,2.6416633825562665,2.641663382556267,3.6371988568413727,3.6371988568413753,-0.6368622393976415,-0.6368622393976403,2.6416633825562665
-0.6367383589657953,-0.6367383589657944,2.6414621093578567,2.641462109357857,3.6372762496079374,3.637276249607938,-0.6367383589657953,-0.6367383589657944,2.6414621093578567
-0.6371094693789064,-0.637109469378906,2.6420651666293677,2.642065166629369,3.6370443027495383,3.6370443027495387,-0.6371094693789064,-0.637109469378906,2.6420651666293677
-0.6379692188836645,-0.6379692188836641,2.6434634250007463,2.6434634250007467,3.6365057938829164,3.6365057938829177,-0.6379692188836645,-0.6379692188836641,2.6434634250007463
-0.6393029115924991,-0.6393029115924986,2.645635705581848,2.6456357055818485,3.6356672060106483,3.635667206010649,-0.6393029115924991,-0.6393029115924986,2.645635705581848
-0.641087803287268,-0.6410878032872674,2.6485490725877856,2.648549072587786,3.634538730699481,3.6345387306994814,-0.641087803287268,-0.6410878032872674,2.6485490725877856
-0.64329355538241,-0.6432935553824083,2.652159286253536,2.6521592862535375,3.633134269128871,3.6331342691288717,-0.64329355538241,-0.6432935553824083,2.652159286253536
-0.6458828332391849,-0.6458828332391837,2.656411407546837,2.6564114075468384,3.6314714256923453,3.6314714256923475,-0.6458828332391849,-0.6458828332391837,2.656411407546837
-0.6488120311805282,-0.6488120311805281,2.6612405443596137,2.6612405443596137,3.629571486820914,3.629571486820915,-0.6488120311805282,-0.6488120311805281,2.6612405443596137
-0.6520321036629909,-0.6520321036629904,2.666572728003063,2.666572728003064,3.627459375659927,3.627459375659929,-0.6520321036629909,-0.6520321036629904,2.666572728003063
-0.6554894802076228,-0.6554894802076211,2.672325908976675,2.672325908976676,3.6251635712309462,3.625163571230947,-0.6554894802076228,-0.6554894802076211,2.672325908976675
-0.6591270408805933,-0.6591270408805917,2.678411062016965,2.6784110620169663,3.622715978863628,3.6227159788636283,-0.6591270408805933,-0.6591270408805917,2.678411062016965
-0.6628851292763775,-0.6628851292763761,2.6847333921064047,2.6847333921064065,3.6201517371699685,3.6201517371699694,-0.6628851292763775,-0.6628851292763761,2.6847333921064047
-0.6667025809603301,-0.6667025809603292,2.691193635051118,2.691193635051119,3.6175089459092105,3.6175089459092122,-0.6667025809603301,-0.6667025809603292,2.691193635051118
-0.670517747002108,-0.6705177470021056,2.6976894479163596,2.69768944791636,3.6148282990857457,3.614828299085747,-0.670517747002108,-0.6705177470021056,2.6976894479163596
-0.6742694943844333,-0.6742694943844324,2.704116885459925,2.704116885459925,3.6121526089245064,3.6121526089245073,-0.6742694943844333,-0.6742694943844324,2.704116885459925
-0.6778981675108029,-0.6778981675108018,2.7103719581192407,2.7103719581192416,3.609526209391562,3.6095262093915625,-0.6778981675108029,-0.6778981675108018,2.7103719581192407
-0.6813464975826773,-0.6813464975826767,2.716352264539184,2.716352264539187,3.6069942330434905,3.606994233043491,-0.6813464975826773,-0.6813464975826767,2.716352264539184
-0.6845604491192342,-0.6845604491192333,2.721958686691121,2.7219586866911225,3.6046017624281115,3.604601762428114,-0.6845604491192342,-0.6845604491192333,2.721958686691121
-0.6874899952308986,-0.6874899952308944,2.7270971282403527,2.7270971282403553,3.6023928669905425,3.6023928669905434,-0.6874899952308986,-0.6874899952308944,2.7270971282403527
-0.690089815345619,-0.6900898153456159,2.731680267304646,2.7316802673046467,3.600409548040968,3.60040954804097,-0.690089815345619,-0.6900898153456159,2.731680267304646
-0.6923199108717621,-0.6923199108717609,2.735629283964792,2.735629283964794,3.5986906269069663,3.598690626906969,-0.6923199108717621,-0.6923199108717609,2.735629283964792
