Alpha,Energy
0.002,0.3123085820743506
0.002,0.3169184935745143
0.002,0.3215139111338156
0.002,0.3260948574283997
0.002,0.3306613550617311
0.002,0.3352134265641444
0.002,0.33975109439243056
0.002,0.34427438092940826
0.002,0.3487833084834933
0.002,0.3532778992882377
0.002,0.3577581755019021
0.002,0.3622241592069771
0.002,0.3666758724097052
0.002,0.37111333703963045
0.002,0.3755365749491077
0.002,0.379945607912788
0.002,0.3843404576271363
0.002,0.38872114570991023
0.002,0.39308769369966345
0.002,0.39744012305517085
0.002,0.4017784551549198
0.002,0.4061027112965813
0.002,0.4104129126963973
0.002,0.4147090804886563
0.002,0.4189912357250995
0.002,0.42325939937432405
0.002,0.42751359232119973
0.002,0.43175383536624445
0.002,0.4359801492250045
0.002,0.4401925545274274
0.002,0.44439107181720594
0.002,0.4485757215511257
0.002,0.45274652409841
0.002,0.4569034997400016
0.002,0.4610466686679109
0.002,0.4651760509844774
0.002,0.46929166670166894
0.002,0.4733935357403277
0.002,0.4774816779294415
0.002,0.48155611300536666
0.002,0.48561686061106535
0.002,0.4896639402952933
0.002,0.49369737151181536
0.002,0.49771717361857337
0.002,0.5017233658768423
0.002,0.5057159674503805
0.002,0.5096949974045687
0.002,0.513660474705504
0.002,0.5176124182191156
0.002,0.5215508467102137
0.002,0.5254757788415793
0.002,0.5293872331729864
0.002,0.5332852281602222
0.002,0.5371697821540943
0.002,0.541040913399417
0.002,0.5448986400339665
0.002,0.5487429800874156
0.002,0.5525739514802624
0.002,0.5563915720227299
0.002,0.5601958594136208
0.002,0.5639868312391936
0.002,0.5677645049719771
0.002,0.5715288979695696
0.002,0.57528002747343
0.002,0.579017910607618
0.002,0.5827425643775399
0.002,0.586454005668615
0.002,0.590152251244994
0.002,0.5938373177481588
0.002,0.5975092216955706
0.002,0.6011679794792361
0.002,0.6048136073642741
0.002,0.6084461214874388
0.002,0.6120655378556028
0.002,0.6156718723442258
0.002,0.619265140695776
0.002,0.6228453585181211
0.002,0.6264125412828773
0.002,0.6299667043237471
0.002,0.6335078628347808
0.002,0.6370360318686129
0.002,0.6405512263346878
0.002,0.6440534609974059
0.002,0.6475427504742451
0.002,0.6510191092338339
0.002,0.6544825515939854
0.002,0.6579330917196878
0.002,0.6613707436210379
0.002,0.6647955211511285
0.002,0.6682074380038981
0.002,0.6716065077119069
0.002,0.6749927436440891
0.002,0.6783661590034196
0.002,0.6817267668245501
0.002,0.6850745799713762
0.002,0.6884096111345402
0.002,0.6917318728288853
0.002,0.6950413773908364
0.002,0.698338136975721
0.002,0.7016221635550275
0.002,0.7048934689135689
0.002,0.7081520646466217
0.002,0.7113979621569406
0.002,0.714631172651739
0.002,0.7178517071395561
0.002,0.7210595764270745
0.002,0.7242547911158299
0.002,0.7274373615988464
0.002,0.730607298057185
0.002,0.7337646104563864
0.002,0.7369093085428341
0.002,0.7400414018400086
0.002,0.743160899644649
0.002,0.7462678110227952
0.002,0.7493621448057356
0.002,0.7524439095858365
0.002,0.7555131137122497
0.002,0.7585697652865138
0.002,0.7616138721580052
0.002,0.76464544191929
0.002,0.7676644819013203
0.002,0.7706709991684956
0.002,0.7736650005135904
0.002,0.7766464924525177
0.002,0.7796154812189425
0.002,0.7825719727587409
0.002,0.785515972724286
0.002,0.7884474864685579
0.002,0.7913665190390814
0.002,0.7942730751716698
0.002,0.7971671592839779
0.002,0.8000487754688562
0.002,0.8029179274874844
0.002,0.8057746187622978
0.002,0.8086188523696802
0.002,0.8114506310324207
0.002,0.814269957111933
0.002,0.8170768326001985
0.002,0.8198712591114667
0.002,0.8226532378736531
0.002,0.825422769719474
0.002,0.8281798550772432
0.002,0.8309244939613905
0.002,0.8336566859626233
0.002,0.836376430237753
0.002,0.8390837254991633
0.002,0.8417785700039052
0.002,0.8444609615423817
0.002,0.8471308974266457
0.002,0.849788374478251
0.002,0.8524333890156579
0.002,0.8550659368411688
0.002,0.8576860132273644
0.002,0.8602936129030283
0.002,0.8628887300385135
0.002,0.8654713582305723
0.002,0.8680414904865368
0.002,0.8705991192079197
0.002,0.8731442361733224
0.002,0.875676832520661
0.002,0.8781968987286584
0.002,0.8807044245975629
0.002,0.883199399229068
0.002,0.8856818110053617
0.002,0.8881516475672858
0.002,0.8906088957915419
0.002,0.8930535417668977
0.002,0.8954855707693187
0.002,0.8979049672359981
0.002,0.9003117147381913
0.002,0.9027057959527922
0.002,0.9050871926325876
0.002,0.9074558855750994
0.002,0.909811854589929
0.002,0.9121550784645182
0.002,0.914485534928223
0.002,0.916803200614592
0.002,0.9191080510217423
0.002,0.9214000604706958
0.002,0.9236792020615563
0.002,0.9259454476273703
0.002,0.928198767685523
0.002,0.9304391313865013
0.002,0.9326665064598154
0.002,0.9348808591569263
0.002,0.9370821541909137
0.002,0.939270354672669
0.002,0.9414454220433562
0.002,0.943607316002863
0.002,0.9457559944339085
0.002,0.9478914133215046
0.002,0.9500135266673703
0.002,0.9521222863989167
0.002,0.9542176422723507
0.002,0.9562995417693748
0.002,0.9583679299870033
0.002,0.9604227495198221
0.002,0.9624639403340904
0.002,0.964491439632908
0.002,0.9665051817116408
0.002,0.9685050978027047
0.002,0.9704911159086683
0.002,0.9724631606225539
0.002,0.974421152934059
0.002,0.9763650100202568
0.002,0.9782946450191617
0.002,0.9802099667843596
0.002,0.9821108796186058
0.002,0.983997282984076
0.002,0.9858690711865822
0.002,0.9877261330307308
0.002,0.989568351442505
0.002,0.9913956030552799
0.002,0.993207757754632
0.002,0.9950046781765702
0.002,0.9967862191529826
0.002,0.9985522270969901
0.002,1.0003025393196783
0.002,1.0020369832681688
0.002,1.0037553756731092
0.002,1.0054575215914063
0.002,1.0071432133272644
0.002,1.0088122292110588
0.002,1.01046433221143
0.002,1.0120992683500045
0.002,1.013716764882787
0.002,1.0153165281987981
