Alpha,Energy
0.02,0.3327607608055857
0.02,0.37756697647957727
0.02,0.4209534144448849
0.02,0.4629413344339114
0.02,0.5035511476386337
0.02,0.5428023476190319
0.02,0.580713426790525
0.02,0.6173017747556011
0.02,0.6525835534975134
0.02,0.6865735426828291
0.02,0.7192849457485564
0.02,0.7507291436736506
0.02,0.780915377260477
0.02,0.8098503320356701
0.02,0.8375375692528854
0.02,0.8639768336797726
0.02,0.8891625883197416
0.02,0.9130846971051892
0.02,0.9357161903442319
0.02,0.9570565981211923
0.02,0.97694860399226
0.02,0.9957431022190892
0.02,1.0121064292227326
0.02,1.029569216940018
0.02,1.039606739903941
0.02,1.0604751476546816
0.02,1.0641637743044983
0.02,1.0911750888346463
0.02,1.0963917198147126
0.02,1.126397071209421
0.02,1.1349532489090524
0.02,1.1668052115445848
0.02,1.1789158219010802
0.02,1.2120399107168838
0.02,1.2280231852512729
0.02,1.261867471739374
0.02,1.2821496684366498
0.02,1.3161725183392365
0.02,1.3412708563342204
0.02,1.3748930778793198
0.02,1.4054264573172552
0.02,1.437980140365506
0.02,1.4746982252443994
0.02,1.5053605584766485
0.02,1.5491976523809678
0.02,1.5768784400427935
0.02,1.629058665566088
0.02,1.652154555575023
0.02,1.7144330235204226
0.02,1.7300818616737588
0.06,0.3761436041481612
0.06,0.3761436086922284
0.06,0.37614360994306845
0.06,0.5021726176868865
0.06,0.5021726649824884
0.06,0.5021727940096941
0.06,0.6159344342994818
0.06,0.6159373008954534
0.06,0.6159380675027738
0.06,0.7178726788733909
0.06,0.7178811274895851
0.06,0.7179048026583884
0.06,0.8081752549507487
0.06,0.8084040872268069
0.06,0.8084617583755936
0.06,0.8869194811138242
0.06,0.8872247596813032
0.06,0.888177348517706
0.06,0.9515389373299752
0.06,0.9561982377524074
0.06,0.9573429095676318
0.06,1.0046161628049222
0.06,1.0069204498028137
0.06,1.0188105070342186
0.06,1.0427458013945103
0.06,1.0647977039450307
0.06,1.0735243947373176
0.06,1.0860706162686382
0.06,1.0894706177597466
0.06,1.1349719657928126
0.06,1.1377945716424889
0.06,1.1688538427784665
0.06,1.2038431046312286
0.06,1.204807321339699
0.06,1.2053947234240898
0.06,1.2835555026898748
0.06,1.2836759492000793
0.06,1.3010812385854558
0.06,1.3740956429424065
0.06,1.3741194963150094
0.06,1.3741350570694433
0.06,1.4663553018617164
0.06,1.4760621509932157
0.06,1.476063667917036
0.06,1.5898272082991514
0.06,1.5898273381774404
0.06,1.5898274230353535
0.06,1.6581793706339178
0.06,1.715856390403685
0.06,1.7158563928226425
0.14,0.4541698703386608
0.14,0.45432879131487375
0.14,0.45443854533052563
0.14,0.4545718545829166
0.14,0.4546006420389164
0.14,0.4547940445558054
0.14,0.45487879818076693
0.14,0.7074940196173507
0.14,0.7081703087587822
0.14,0.7099210474572876
0.14,0.7104411090910756
0.14,0.7116930493671005
0.14,0.7129866438781223
0.14,0.7150044581088043
0.14,0.883380055122982
0.14,0.8911126592423935
0.14,0.8969545593581413
0.14,0.9040841585188015
0.14,0.9057446483131866
0.14,0.918081527854477
0.14,0.9225926618666561
0.14,1.0115990764728284
0.14,1.0200842559393968
0.14,1.0365143280982665
0.14,1.0415126279315863
0.14,1.0508435817029749
0.14,1.058278269634524
0.14,1.0719463477582358
0.14,1.093093888577299
0.14,1.1694217187197362
0.14,1.179500401004046
0.14,1.1873746887427838
0.14,1.1903435455609703
0.14,1.2002444043015115
0.14,1.2009480310289367
0.14,1.2487811430701201
0.14,1.3769965203700243
0.14,1.3790253831370478
0.14,1.3803348087008818
0.14,1.381583917456455
0.14,1.3823357475880127
0.14,1.38383014104301
0.14,1.3856201291682875
0.14,1.5657066901855163
0.14,1.637121364414485
0.14,1.6372783139470284
0.14,1.6374152984057342
0.14,1.6374767336831302
0.14,1.6376706283210207
0.14,1.637674562138528
0.18,0.4875323978413472
0.18,0.48787813743167546
0.18,0.4880219016132881
0.18,0.48896065649239207
0.18,0.4894582604927936
0.18,0.49076308118279516
0.18,0.4909387350021899
0.18,0.4912283306311881
0.18,0.49148857809820234
0.18,0.7792928584728295
0.18,0.7811790088685104
0.18,0.7843327509737271
0.18,0.7849053542304878
0.18,0.7981134468029412
0.18,0.803349920974892
0.18,0.8068094383742214
0.18,0.8081339564887415
0.18,0.8110315933764952
0.18,0.9630513565643181
0.18,0.9689168663824529
0.18,0.971633056449888
0.18,0.9812489894199478
0.18,0.984770624869142
0.18,1.040960681701272
0.18,1.0432144751413004
0.18,1.0491266405872541
0.18,1.054562576779754
0.18,1.1072874539988304
0.18,1.1157404825197872
0.18,1.1228490929711241
0.18,1.1238729480734688
0.18,1.1778650203255745
0.18,1.2809793764305042
0.18,1.2839199258975564
0.18,1.2853292525476827
0.18,1.2886534588828586
0.18,1.300009148727469
0.18,1.3071490638997736
0.18,1.30899247587026
0.18,1.3110145955160424
0.18,1.3127308608074035
0.18,1.5341727837804768
0.18,1.600759754653465
0.18,1.6008036186326247
0.18,1.6011016616988358
0.18,1.601358959425339
0.18,1.6025468506224443
0.18,1.603654824397621
0.18,1.6041142845234915
0.18,1.6041904305533172
0.22,0.5149462298295969
0.22,0.5158079116213826
0.22,0.516317583277047
0.22,0.5176361939974339
0.22,0.5179289953336123
0.22,0.5232444065578906
0.22,0.5250819440450694
0.22,0.5264048764601064
0.22,0.526813573489117
0.22,0.5276268204926768
0.22,0.528482084778857
0.22,0.8325650772389411
0.22,0.8361290456686471
0.22,0.8403604567073889
0.22,0.8415280781736373
0.22,0.8521146232060085
0.22,0.8565770419950558
0.22,0.890800964328607
0.22,0.8936355749575674
0.22,0.8988174150317095
0.22,0.9018778865797212
0.22,0.9080041568168778
0.22,1.031532444992304
0.22,1.0394356695008236
0.22,1.0439856283103617
0.22,1.0522534993725103
0.22,1.052878184837674
0.22,1.106345926756256
0.22,1.1840124035113524
0.22,1.1903172273403475
0.22,1.1934171418080766
0.22,1.1984026031827557
0.22,1.204407730647139
0.22,1.235426035792056
0.22,1.2458160996948706
0.22,1.2509126704179467
0.22,1.2526965450690972
0.22,1.2563548717354343
0.22,1.2594469478036396
0.22,1.5103306320721066
0.22,1.564366843532202
0.22,1.5644789919726336
0.22,1.5653802337236236
0.22,1.565789435591933
0.22,1.566943391920825
0.22,1.5707419400700189
0.22,1.5740994529899555
0.22,1.5750710246212465
0.22,1.576184884405078
0.22,1.5762705977407752
0.26,0.533504470368937
0.26,0.5378552843282355
0.26,0.5407786704543243
0.26,0.5411635021164329
0.26,0.5460477596310508
0.26,0.5483490094834051
0.26,0.5498028125896055
0.26,0.5531477422184204
0.26,0.5539734152764325
0.26,0.5602856806283731
0.26,0.5604705874833958
0.26,0.5708766385127481
0.26,0.5708960524586745
0.26,0.8727342888535075
0.26,0.8728141226019719
0.26,0.8947028793164793
0.26,0.8953900164678926
0.26,0.9099135323456488
0.26,0.9136944494281625
0.26,0.9291837209136335
0.26,0.9320190618798955
0.26,0.935714058109589
0.26,0.9611853489470435
0.26,0.9979373404791838
0.26,1.0459316892063968
0.26,1.0460683267350748
0.26,1.1301405885232618
0.26,1.1376523386895943
0.26,1.15638918861725
0.26,1.1600444730141106
0.26,1.1709845853794116
0.26,1.1793531374267556
0.26,1.1826077446443297
0.26,1.1968255408085327
0.26,1.1977651436953896
0.26,1.21921021924838
0.26,1.2193068408971146
0.26,1.4927463709899476
0.26,1.5211209094641525
0.26,1.5211403460133177
0.26,1.5316585949042574
0.26,1.5318433066433836
0.26,1.538712868117247
0.26,1.539192077503082
0.26,1.5423719189474274
0.26,1.5446918533017087
0.26,1.5508355726637237
0.26,1.5511462333648753
0.26,1.5513526970752691
0.26,1.5584669892329583
0.34,0.5484646624523511
0.34,0.5566612526577234
0.34,0.5644111776130306
0.34,0.5716786756461882
0.34,0.5784072738347968
0.34,0.5846242024264916
0.34,0.5899144178964699
0.34,0.5956740653289485
0.34,0.5981959322687764
0.34,0.6063856624127973
0.34,0.60745238780876
0.34,0.6197268329993433
0.34,0.6223565636176308
0.34,0.6388255198881639
0.34,0.6444994493116327
0.34,0.6666440529883773
0.34,0.6797718200420878
0.34,0.9516902487195895
0.34,0.96108898277822
0.34,0.9871834411094218
0.34,0.9973690089012017
0.34,1.0149680042660532
0.34,1.0239778227375396
0.34,1.035985377533904
0.34,1.0414915818642816
0.34,1.0507109848170897
0.34,1.0571736985782898
0.34,1.0680547674750633
0.34,1.0801589569985817
0.34,1.09463232594883
0.34,1.1113909942166893
0.34,1.1309110276461782
0.34,1.1539755770986524
0.34,1.4122281799603285
0.34,1.4322189500436606
0.34,1.4475004840515726
0.34,1.4596945314363434
0.34,1.4678574870308043
0.34,1.4697375185934043
0.34,1.4778477907042813
0.34,1.4848651632310972
0.34,1.4897538131394064
0.34,1.496450060440491
0.34,1.497828140632204
0.34,1.5074102580846263
0.34,1.5084652696989715
0.34,1.520322070618282
0.34,1.5216025689100505
0.34,1.5353387508183298
0.34,1.5364222127229965
0.38,0.5677059421563716
0.38,0.5699311046519171
0.38,0.5706432837431773
0.38,0.5727270081517334
0.38,0.5736820789764344
0.38,0.5813626517641417
0.38,0.5816608874236678
0.38,0.609450550239233
0.38,0.6100718542468873
0.38,0.6142119049522969
0.38,0.6180245362098173
0.38,0.6485980960309597
0.38,0.6797717230957859
0.38,0.6807141011580811
0.38,0.6886400002018074
0.38,0.6917135263668336
0.38,0.6935844314395206
0.38,0.6991344674589144
0.38,0.6995687873417491
0.38,1.0100263873565556
0.38,1.0106597645286741
0.38,1.0179778114083171
0.38,1.0195880393752843
0.38,1.0225324732560912
0.38,1.0453687700998695
0.38,1.0555840368792115
0.38,1.0695280545947088
0.38,1.0724809967943965
0.38,1.075859349592817
0.38,1.0815262880806165
0.38,1.0821460584977647
0.38,1.392504324618891
0.38,1.3929100703952104
0.38,1.3984751498818382
0.38,1.4006248810374444
0.38,1.403869840771322
0.38,1.4112873524333551
0.38,1.4122284614778862
0.38,1.4654873737648049
0.38,1.4727982385388942
0.38,1.4779403464725394
0.38,1.4814480735458224
0.38,1.483064452677865
0.38,1.4871609389870941
0.38,1.51060179291479
0.38,1.5109338511300363
0.38,1.5191950334229636
0.38,1.5196289483396541
0.38,1.5214552080466783
0.38,1.5239106954692725
0.42,0.5689166164842756
0.42,0.5702027870843701
0.42,0.5703876313373774
0.42,0.5743903198771633
0.42,0.5748399430424054
0.42,0.5813431909262928
0.42,0.5824008267895976
0.42,0.6146358505521448
0.42,0.6458552495844695
0.42,0.647569206351785
0.42,0.6510742388262901
0.42,0.6568569690853286
0.42,0.6579247143028065
0.42,0.7025202795212506
0.42,0.7037176037327275
