Alpha,Energy
0.005,0.3157578598718995
0.005,0.32722835654131727
0.005,0.33860858321419446
0.005,0.34989889075399067
0.005,0.3610996271207576
0.005,0.37221113732727684
0.005,0.3832337633932452
0.005,0.3941678442974438
0.005,0.4050137159277203
0.005,0.4157717110287499
0.005,0.42644215914739064
0.005,0.43702538657554274
0.005,0.4475217162903726
0.005,0.45793146789177686
0.005,0.4682549575368728
0.005,0.4784924978714475
0.005,0.4886443979581033
0.005,0.49871096320097846
0.005,0.5086924952668223
0.005,0.5185892920021927
0.005,0.5284016473465987
0.005,0.5381298512413032
0.005,0.5477741895335527
0.005,0.5573349438759378
0.005,0.5668123916205866
0.005,0.5762068057078994
0.005,0.5855184545494229
0.005,0.5947476019045395
0.005,0.6038945067505506
0.005,0.612959423145706
0.005,0.6219426000847278
0.005,0.6308442813463142
0.005,0.6396647053320643
0.005,0.6484041048962341
0.005,0.6570627071656748
0.005,0.6656407333492289
0.005,0.6741383985358503
0.005,0.6825559114805616
0.005,0.6908934743773915
0.005,0.6991512826182396
0.005,0.7073295245366018
0.005,0.7154283811349631
0.005,0.7234480257945107
0.005,0.7313886239657617
0.005,0.7392503328384645
0.005,0.7470333009890643
0.005,0.7547376680037473
0.005,0.7623635640749453
0.005,0.7699111095688949
0.005,0.7773804145616088
0.005,0.7847715783403206
0.005,0.7920846888670947
0.005,0.7993198222009235
0.005,0.8064770418742162
0.005,0.8135563982189999
0.005,0.8205579276376753
0.005,0.827481651812401
0.005,0.8343275768464614
0.005,0.8410956923300732
0.005,0.8477859703219981
0.005,0.854398364237182
0.005,0.8609328076291377
0.005,0.867389212854165
0.005,0.8737674696025183
0.005,0.880067443279245
0.005,0.8862889732146855
0.005,0.8924318706812338
0.005,0.898495916688979
0.005,0.9044808595279648
0.005,0.9103864120189351
0.005,0.9162122484271866
0.005,0.9219580009853058
0.005,0.9276232559595502
0.005,0.9332075491809173
0.005,0.9387103609447011
0.005,0.9441311101604075
0.005,0.9494691476059348
0.005,0.954723748103793
0.005,0.9598941013893038
0.005,0.9649793013808078
0.005,0.9699783334681766
0.005,0.9748900593627337
0.005,0.9797131987445117
0.005,0.9844463072913427
0.005,0.9890877483272353
0.005,0.9936356621332784
0.005,0.9980879114654079
0.005,1.0024420647522219
0.005,1.0066952038143584
0.005,1.0108442139090479
0.005,1.0148845161286886
