Alpha,Energy,p/797
0.0012547051442910915,-0.05128480813479824,1/797
0.0012547051442910915,-0.05039875825325266,1/797
0.0012547051442910915,-0.041703069729735,1/797
0.0012547051442910915,-0.04036772359407422,1/797
0.0012547051442910915,-0.03205468489836946,1/797
0.0012547051442910915,-0.030392243514084694,1/797
0.0012547051442910915,-0.022393809184973815,1/797
0.0012547051442910915,-0.02046723177045715,1/797
0.0012547051442910915,-0.01274120049273504,1/797
0.0012547051442910915,-0.010590686652175373,1/797
0.0012547051442910915,-0.0031073515278024857,1/797
0.0012547051442910915,-0.0007615339551381217,1/797
0.0012547051442910915,0.006501580498808711,1/797
0.0012547051442910915,0.00902091274805337,1/797
0.0012547051442910915,0.016081630174004068,1/797
0.0012547051442910915,0.01875714523203239,1/797
0.0012547051442910915,0.025630077545621757,1/797
0.0012547051442910915,0.02844754529152241,1/797
0.0012547051442910915,0.035144971195608755,1/797
0.0012547051442910915,0.03809242717261371,1/797
0.0012547051442910915,0.04462486395657533,1/797
0.0012547051442910915,0.04769206096326746,1/797
0.0012547051442910915,0.05406865559614024,1/797
0.0012547051442910915,0.05724668644685932,1/797
0.0012547051442910915,0.06347549377955236,1/797
0.0012547051442910915,0.06675652178074794,1/797
0.0012547051442910915,0.0728447088467984,1/797
0.0012547051442910915,0.07622176918395325,1/797
0.0012547051442910915,0.08217576923682561,1/797
0.0012547051442910915,0.08564261880569056,1/797
0.0012547051442910915,0.09146825006274162,1/797
0.0012547051442910915,0.09501925143970825,1/797
0.0012547051442910915,0.10072181036661004,1/797
0.0012547051442910915,0.10435184047983288,1/797
0.0012547051442910915,0.10993617627932883,1/797
0.0012547051442910915,0.11364055336128738,1/797
0.0012547051442910915,0.11911112830471156,1/797
0.0012547051442910915,0.12288555264425934,1/797
0.0012547051442910915,0.12824649155068674,1/797
0.0012547051442910915,0.13208699684284073,1/797
0.0012547051442910915,0.13734212810931265,1/797
0.0012547051442910915,0.1412450410690114,1/797
0.0012547051442910915,0.14639793103180068,1/797
0.0012547051442910915,0.15035983753987722,1/797
0.0012547051442910915,0.15541381950650657,1/797
0.0012547051442910915,0.1594315359821621,1/797
0.0012547051442910915,0.16438973495730666,1/797
0.0012547051442910915,0.16846028395838217,1/797
0.0012547051442910915,0.17332563785530367,1/797
0.0012547051442910915,0.17744622713254452,1/797
0.0012547051442910915,0.182221505089956,1/797
0.0012547051442910915,0.1863895094885975,1/797
0.0012547051442910915,0.19107732778359943,1/797
0.0012547051442910915,0.19529027351155012,1/797
0.0012547051442910915,0.1998931094608901,1/797
0.0012547051442910915,0.20414866033882353,1/797
0.0012547051442910915,0.2086688645048918,1/797
0.0012547051442910915,0.21296480988763727,1/797
0.0012547051442910915,0.21740461684660417,1/797
0.0012547051442910915,0.2217388609629396,1/797
0.0012547051442910915,0.2261003988460437,1/797
0.0012547051442910915,0.23047095134942377,1/797
0.0012547051442910915,0.23475625033164846,1/797
0.0012547051442910915,0.23916121789043635,1/797
0.0012547051442910915,0.24337221777137888,1/797
0.0012547051442910915,0.24780979655599686,1/797
0.0012547051442910915,0.2519483535540693,1/797
0.0012547051442910915,0.25641682250175535,1/797
0.0012547051442910915,0.26048471536357454,1/797
0.0012547051442910915,0.2649824301203147,1/797
0.0012547051442910915,0.2689813656314715,1/797
0.0012547051442910915,0.27350675308612377,1/797
0.0012547051442910915,0.27743837105656594,1/797
0.0012547051442910915,0.2819899243949133,1/797
0.0012547051442910915,0.28585580218150874,1/797
0.0012547051442910915,0.2904320763984752,1/797
0.0012547051442910915,0.2942337330184222,1/797
0.0012547051442910915,0.2988333408354578,1/797
0.0012547051442910915,0.302572240716788,1/797
0.0012547051442910915,0.307193848858731,1/797
0.0012547051442910915,0.31087140526791124,1/797
0.0012547051442910915,0.3155137310597979,1/797
0.0012547051442910915,0.3191313092411398,1/797
0.0012547051442910915,0.3237931174906338,1/797
0.0012547051442910915,0.32735203754779474,1/797
0.0012547051442910915,0.3320321376832986,1/797
0.0012547051442910915,0.3355336772293164,1/797
0.0012547051442910915,0.3402309206676052,1/797
0.0012547051442910915,0.34367631726667386,1/797
0.0012547051442910915,0.34838959498707694,1/797
0.0012547051442910915,0.351780048408476,1/797
0.0012547051442910915,0.3565082887134153,1/797
0.0012547051442910915,0.3598449630156108,1/797
0.0012547051442910915,0.3645871294596498,1/797
0.0012547051442910915,0.3678711549204898,1/797
0.0012547051442910915,0.37262624439211856,1/797
0.0012547051442910915,0.37585871929926473,1/797
0.0012547051442910915,0.38062576024143324,1/797
0.0012547051442910915,0.3838077525555946,1/797
0.0012547051442910915,0.3885858033125202,1/797
0.0012547051442910915,0.3917183522146853,1/797
0.0012547051442910915,0.3965064994938581,1/797
